,Wild Lifespan,Gene(s),Mutant Lifespan
883,20.0,daf-2;rsks-1,67.2
884,18.9,atfs-1,19.1
885,20.0,atfs-1,19.7
886,18.9,aak-2,15.9
887,20.0,aak-2,16.0
888,19.5,drp-1,21.3
889,18.7,drp-1,21.4
890,19.1,drp-1,18.1
891,20.4,daf-2;rsks-1,55.7
892,19.8,daf-2;rsks-1,49.9
893,19.7,daf-2;rsks-1,51.7
894,18.0,rsks-1,21.2
895,18.2,rsks-1,21.2
896,18.0,daf-2,46.1
897,18.2,daf-2,43.3
898,18.0,daf-2;rsks-1,65.2
899,18.2,daf-2;rsks-1,59.1
900,19.09,atfs-1,19.09
901,12.07,daf-2,21.11
902,12.07,daf-2,27.48
903,12.07,daf-2,28.44
904,13.0,ins-6,14.5
905,14.7,daf-2,36.7
906,14.7,daf-2;daf-16,10.1
907,18.81,eat-2,21.98
908,19.26,eat-2,23.84
909,19.31,eat-2,25.38
910,17.31,eat-2,27.18
911,19.89,daf-7,19.97
912,19.7,daf-2,39.1
913,18.9,daf-2,45.8
914,19.7,daf-2; rsks-1,47.0
915,18.9,daf-2; rsks-1,49.4
916,19.7,rsks-1,21.0
917,18.9,rsks-1,20.1
918,18.9,daf-16,13.9
919,18.9,daf-2,31.3
920,18.9,daf-2,28.6
921,18.9,pdk-1,21.5
922,18.9,pdk-1,19.1
923,19.0,daf-16,13.0
924,19.0,daf-2,28.6
925,19.0,daf-2,26.1
926,22.56,cep-1,21.2
927,21.24,cep-1,20.78
928,22.44,cep-1,21.36
929,21.89,cep-1,19.81
930,21.4,cep-1,20.78
931,19.7,cep-1,19.75
932,19.42,gas-1,13.97
933,13.87,cep-1,14.3
934,17.15,cep-1,18.56
935,17.15,isp-1,27.46
936,17.15,cep-1;isp-1,22.55
937,17.15,mev-1,13.73
938,17.15,cep-1;mev-1,15.78
939,19.23,cep-1,19.52
940,19.23,isp-1,28.25
941,19.23,cep-1;isp-1,21.08
942,19.23,mev-1,12.99
943,19.23,cep-1;mev-1,16.1
944,22.41,gas-1,15.28
945,22.41,mev-1,13.11
946,22.41,nuo-6,25.36
947,22.41,isp-1,24.4
948,17.0,nuo-6,22.85
949,18.0,daf-16,16.9
950,21.8,sod-1,32.6
951,19.7,sod-1,25.4
952,19.2,daf-16,12.5
953,18.8,isp-1,34.67
954,18.26,isp-1,34.27
955,17.55,isp-1,35.48
956,18.46,ced-4,17.98
957,18.7,ced-4,18.54
958,17.55,ced-4,18.57
959,19.68,egl-1,19.16
960,19.08,egl-1,19.1
961,19.92,egl-1,18.96
962,19.24,egl-1,18.6
963,20.44,ced-13,21.44
964,22.16,ced-13,21.74
965,19.5,ced-13,20.34
966,19.26,ced-13,19.44
967,20.16,ced-13,19.92
968,20.22,ced-13,19.37
969,20.19,isp-1;ced-4,25.97
970,20.48,isp-1;ced-4,27.02
971,20.74,isp-1;ced-4,26.02
972,19.48,nuo-6;ced-4,31.34
973,20.0,nuo-6;ced-4,31.9
974,19.44,nuo-6;ced-4,31.18
975,20.08,nuo-6;ced-4,26.22
976,21.08,nuo-6;ced-4,26.4
977,19.08,nuo-6;ced-4,27.19
978,18.88,rrf3,21.7
979,18.88,eat-2,25.9
980,18.88,glp-1,23.29
981,18.88,clk-1,28.47
982,18.88,mev-1,18.09
983,13.92,daf-2,36.26
984,13.92,rrf3,15.38
985,20.84,daf-16,12.84
986,19.12,rrf3,21.7
987,12.56,eak-3,11.84
988,25.47,eak-3,24.54
989,12.7,eak-3,13.7
990,12.7,eak-4,12.9
991,12.7,akt-1,13.7
992,12.7,eak-6,12.9
993,19.21,age-1,26.89
994,19.21,daf-2,34.67
995,15.15,drp-1,15.44
996,15.15,age-1,26.87
997,15.15,daf-2,28.57
998,15.03,isp-1;ctb-1,24.55
999,15.03,clk-1,24.6
1000,20.8,daf-16,19.0
1001,19.7,daf-16,17.4
1002,21.9,eat-2,26.3
1003,19.7,eat-2,26.3
1004,21.9,clk-1,24.1
1005,19.3,daf-16,14.0
1006,19.2,daf-16,14.1
1007,10.8,daf-16,4.6
1008,12.5,daf-16,7.5
1009,9.6,daf-16,4.7
1010,24.0,unc-64,33.0
1011,24.0,unc-31,35.0
1012,13.6,pep-2,14.2
1013,13.6,daf-16,10.4
1014,11.0,daf-16,8.9
1015,11.0,pep-2,9.0
1016,17.6,daf-16,14.6
1017,14.0,daf-16,11.4
1018,14.0,tub-1,16.8
1019,14.6,lin-14,18.7
1020,21.6,lin-14,25.1
1021,16.0,lin-4,6.8
1022,16.67,ifta-2,23.26
1023,18.96,ifta-2,23.02
1024,18.96,ifta-2,22.36
1025,16.7,gpa-1,20.4
1026,16.7,gpa-11,17.5
1027,16.7,gpa-11,16.8
1028,17.5,gpa-11,21.1
1029,17.5,gpa-11,22.8
1030,17.5,gpa-11,17.0
1031,17.5,daf-16,15.8
1032,18.0,odr-3,19.9
1033,18.0,gpa-11,20.9
1034,18.0,gpa-11,18.5
1035,19.1,daf-16,14.3
1036,19.1,daf-16,19.1
1037,16.4,daf-3,15.2
1038,15.4,daf-3,12.9
1039,18.6,daf-3,13.1
1040,24.8,daf-3,16.6
1041,19.0,daf-3,15.5
1042,16.6,daf-3,14.4
1043,16.4,daf-16,12.6
1044,18.9,daf-16,18.0
1045,16.6,daf-16,16.2
1046,16.6,daf-16,12.1
1047,16.8,daf-3,16.0
1048,18.9,daf-3,15.5
1049,18.9,daf-3,17.4
1050,16.6,daf-3,16.3
1051,14.9,bec-1,13.8
1052,17.2,Ce-atg7,17.2
1053,19.0,daf-16,17.0
1054,18.2,par-5,15.6
1055,18.9,daf-16,14.3
1056,18.2,ife-2,22.4
1057,11.6,ife-2,16.0
1058,11.6,let-363,13.4
1059,18.2,rsks-1,19.1
1060,18.2,rskn-1,19.8
1061,18.2,mnk-1,13.9
1062,18.4,daf-16,13.2
1063,20.7,daf-16,19.2
1064,20.7,rpn-1,13.8
1065,20.7,rpn-3,13.2
1066,20.7,rpn-6,14.1
1067,20.7,rpn-7,13.1
1068,20.7,rpn-8,13.4
1069,20.7,rpn-9,13.7
1070,20.7,rpn-10,18.1
1071,20.7,rpn-11,13.6
1072,20.7,rpn-12,19.0
1073,20.7,rpt-1,13.2
1074,20.7,rpt-4,13.1
1075,20.7,rpt-5,12.7
1076,20.7,rpt-6,12.8
1077,20.7,pas-1,20.0
1078,20.7,pas-5,13.5
1079,20.7,pas-6,14.1
1080,20.7,pas-7,21.1
1081,20.7,pbs-2,14.1
1082,20.7,pbs-3,14.1
1083,20.7,pbs-4,14.3
1084,20.7,pbs-5,14.5
1085,20.7,pbs-6,20.1
1086,20.7,pbs-7,13.5
1087,18.6,daf-16,16.4
1088,18.6,cul-1,18.6
1089,18.6,cul-2,16.4
1090,18.6,cul-3,19.7
1091,18.6,cul-4,19.7
1092,18.6,cul-5,21.3
1093,18.6,cul-6,19.7
1094,20.7,lin-23,19.1
1095,20.7,lin-23,17.2
1096,16.3,lin-23,13.0
1097,16.3,lin-23,13.2
1098,16.2,lin-23,14.7
1099,16.2,lin-23,13.4
1100,14.7,"R13H8.1, daf-16",8.1
1101,14.7,"Y76A2A.2, cua-1",12.9
1102,14.7,F28D1.9,7.6
1103,14.7,Y61A9LA.5,8.9
1104,14.7,BE10.2,10.2
1105,14.7,"T07D3.7, alg-2",11.1
1106,14.7,"F39H11.2, tlf-1",11.3
1107,14.7,F52C6.2,11.9
1108,14.7,"F41E6.4, smk-1",11.6
1109,14.7,"M01E5.5, top-1",11.8
1110,14.7,C14A4.9,12.6
1111,14.7,F30A10.6,11.0
1112,14.7,"F20B6.8, hpk-1",9.2
1113,14.7,M57.2,11.7
1114,14.7,"C05D11.2, vps-16",11.6
1115,14.7,"ZK270.1, ptr-23",12.8
1116,14.7,C29F9.2,12.9
1117,14.7,"T01C8.1, aak-2",6.8
1118,14.7,C29F9.1,15.3
1119,14.7,"R09B3.5, mag-1",12.4
1120,14.7,"R144.4, wip-1",13.8
1121,14.7,"Y17G7B.5, mcm-2",12.6
1122,14.7,Y42G9A.4,12.6
1123,14.7,"C29E6.1, let-653",12.7
1124,14.7,B0303.9,12.4
1125,14.7,"F45E1.6, his-71",11.9
1126,14.7,"F41H10.7, elo-5",13.3
1127,14.7,C31H2.1,14.0
1128,14.7,D2085.5,14.2
1129,14.7,"F44B9.3, cit-1.2",15.7
1130,14.7,D1069.3,13.9
1131,14.7,R12B2.6,11.5
1132,14.7,"F20H11.3, mdh-1",13.2
1133,14.7,M05B5.2,8.1
1134,14.7,F43D2.1,11.7
1135,14.7,"T23F2.1, tag-249",6.1
1136,14.7,"Y80D3A.5, cyp-42A1",6.0
1137,14.7,F33H2.8,9.4
1138,14.7,"C03D6.3, cel-1",6.0
1139,14.7,"H04M03.4, glf-1",7.5
1140,14.7,T19B10.2,9.7
1141,14.7,W04G3.2,12.4
1142,14.7,C06A5.1,9.0
1143,14.7,C26B9.3,12.9
1144,14.7,"F19B6.2, ufd-1",5.3
1145,14.7,C33H5.18,6.7
1146,14.7,"Y66H1B.4, spl-1",11.4
1147,14.7,"F28B12.3, vrk-1",9.4
1148,14.7,"W03C9.3, rab-7",10.0
1149,14.7,CD4.4,9.7
1150,14.7,C40H5.6,8.4
1151,14.7,T27F7.1,9.7
1152,14.7,F55B12.4,7.0
1153,14.7,ZC250.3,10.4
1154,14.7,C11H1.3,13.3
1155,14.7,"C41G7.1, smn-1",10.8
1156,14.7,Y77E11A.7,11.1
1157,14.7,"DY3.2, lmn-1",13.0
1158,14.7,"M04B2.1, mep-1",13.5
1159,14.7,"F40G9.11, mxl-2",13.6
1160,14.7,"T01G9.4, npp-2",13.0
1161,14.7,"F20H11.2, nsh-1",10.7
1162,14.7,"T27C4.4, egr-1",11.1
1163,14.7,C01F1.1,10.5
1164,14.7,C07A9.2,10.8
1165,14.7,"ZC518.3, ccr-4",11.2
1166,14.7,"K12D12.2, npp-3",12.6
1167,14.7,"K12D12.3, col-84",12.6
1168,14.7,F37C4.4,14.3
1169,14.7,C27F2.5,8.4
1170,14.7,B0395.2,12.4
1171,14.7,Y47G6A.18,13.7
1172,14.7,"ZK593.7, lsm-7",11.1
1173,14.7,"F17C11.8, tag-318",10.7
1174,14.7,T22B11.2,13.1
1175,14.7,"F32A5.1, ada-2",11.5
1176,14.7,"F32A5.7, lsm-4",11.5
1177,14.7,"Y65B4BR.4, wwp-1",13.3
1178,14.7,"T10F2.3, ulp-1",10.0
1179,14.8,asm-3,17.1
1180,16.2,asm-3,18.7
1181,19.4,asm-3,21.2
1182,14.4,asm-3,16.7
1183,15.7,asm-3,18.1
1184,22.7,sod-3,21.5
1185,22.7,sod-2,22.5
1186,22.7,sod-4,21.9
1187,13.37,akt-1,18.62
1188,13.37,daf-16,8.78
1189,20.0,hif-1,24.1
1190,17.7,sod-2,27.2
1191,17.7,sod-3,17.1
1192,17.7,sod-4,19.1
1193,17.7,sod-5,16.4
1194,17.7,sod-1,17.3
1195,13.6,daf-16,10.5
1196,13.6,daf-2,29.0
1197,13.6,unc-24;daf-15,16.6
1198,14.0,rsks-1,17.1
1199,14.6,eat-2,18.2
1200,14.0,hif-1,17.8
1201,14.4,hif-1,17.5
1202,12.4,ifg-1,18.5
1203,14.9,hif-1,17.8
1204,12.5,daf-2,33.6
1205,12.7,daf-2,34.9
1206,12.5,daf-2;rsks-1,69.3
1207,12.7,daf-2;rsks-1,70.0
1208,13.6,daf-2,26.7
1209,12.8,daf-2,28.8
1210,13.6,daf-2;rsks-1,50.5
1211,12.8,daf-2;rsks-1,50.0
1212,12.8,daf-2,31.8
1213,13.0,daf-2,33.7
1214,12.8,daf-2;rsks-1,58.7
1215,13.0,daf-2;rsks-1,53.4
1216,12.8,daf-2,34.4
1217,13.0,daf-2,33.1
1218,12.8,daf-2;rsks-1,62.8
1219,13.0,daf-2;rsks-1,61.6
1220,23.8,daf-2,38.9
1221,23.7,daf-2,35.9
1222,13.5,glp-1,20.0
1223,16.5,glp-1,20.0
1224,19.5,nhr-80,15.5
1225,13.0,glp-1,29.5
1226,13.0,glp-1,29.0
1227,18.0,glp-1,23.5
1228,18.5,glp-1,24.0
1229,19.9,glp-1,23.7
1230,19.5,glp-1,27.0
1231,20.8,glp-1,20.0
1232,19.5,glp-1,23.6
1233,18.6,tcer-1,19.8
1234,18.5,tcer-1,19.4
1235,18.4,tcer-1,21.1
1236,16.5,tcer-1,20.5
1237,21.1,tcer-1,22.4
1238,16.7,daf-2,33.1
1239,21.4,unc-51,22.0
1240,21.4,atg-3,18.9
1241,21.4,atg-4.1,18.5
1242,21.4,atg-4.2,21.5
1243,21.4,atg-5,18.7
1244,21.4,bec-1,16.9
1245,21.4,atg-7,20.9
1246,21.4,lgg-1,20.3
1247,21.4,lgg-2,23.2
1248,21.4,atg-9,21.4
1249,21.4,atg-10,22.3
1250,21.4,lgg-3,22.5
1251,21.4,atg-16.2,21.4
1252,21.4,atg-18,12.1
1253,21.9,unc-51,24.0
1254,21.9,atg-3,22.8
1255,21.9,atg-4.1,22.0
1256,21.9,atg-4.2,21.5
1257,21.9,atg-5,23.4
1258,21.9,bec-1,23.7
1259,21.9,atg-7,23.9
1260,21.9,lgg-1,20.5
1261,21.9,lgg-2,23.5
1262,21.9,atg-9,25.5
1263,21.9,atg-10,22.4
1264,21.9,lgg-3,24.7
1265,21.9,atg-16.2,23.7
1266,21.9,atg-18,17.6
1267,20.96,nhr-62,18.89
1268,18.89,nhr-4,
1269,18.89,nhr-21,
1270,15.72,nhr-62,17.59
1271,14.58,daf-2,33.95
1272,14.58,cco-1,26.95
1273,16.49,daf-2,57.73
1274,16.49,cco-1,29.09
1275,14.92,let-363,19.14
1276,15.92,let-363,17.97
1277,14.9,xbp-1,14.8
1278,14.9,ire-1,10.9
1279,19.5,ire-1,13.7
1280,21.4,xbp-1,17.9
1281,16.5,xbp-1,16.2
1282,16.5,ire-1,13.2
1283,17.5,xbp-1,16.7
1284,17.5,ire-1,10.9
1285,14.9,xbp-1,15.8
1286,14.9,ire-1,11.3
1287,18.6,xbp-1,15.6
1288,18.6,ire-1,16.0
1289,20.1,xbp-1,15.4
1290,20.1,ire-1,16.6
1291,20.2,xbp-1,18.2
1292,20.2,ire-1,17.4
1293,19.8,atf-6,18.5
1294,20.4,atf-6,15.7
1295,16.4,pek-1,21.8
1296,19.6,pek-1,19.6
1297,18.2,pek-1,20.1
1298,20.4,pek-1,15.9
1299,20.4,abu-11,16.4
1300,19.8,abu-11,18.1
1301,16.1,daf-16,10.0
1302,16.1,dox-1,12.3
1303,16.1,xbp-1,10.9
1304,14.7,daf-16,10.3
1305,14.7,dox-1,11.0
1306,14.7,xbp-1,10.1
1307,17.5,dox-1,14.6
1308,16.2,dox-1,15.5
1309,19.1,dox-1,15.7
1310,18.1,dox-1,15.8
1311,21.4,ire-1,13.9
1312,20.44,skn-1,15.6
1313,20.44,skn-1,17.67
1314,20.44,skn-1,17.7
1315,20.44,skn-1,
1316,13.8,akt-1;akt-2,
1317,13.8,skn-1,
1318,16.33,utx-1,19.06
1319,16.16,utx-1,19.18
1320,16.24,utx-1,19.07
1321,16.33,utx-1,
1322,16.16,utx-1,
1323,10.95,utx-1,18.93
1324,10.95,utx-1,16.2
1325,10.95,ash-2,20.76
1326,18.5,daf-16,
1327,26.5,skn-1,19.7
1328,22.1,skn-1,17.1
1329,21.5,skn-1,14.2
1330,29.2,skn-1,16.4
1331,24.9,skn-1,18.7
1332,26.6,skn-1,16.2
1333,26.7,skn-1,18.4
1334,22.3,skn-1,19.4
1335,22.3,skn-1,17.8
1336,19.8,skn-1,14.4
1337,25.7,skn-1,17.7
1338,23.7,skn-1,15.3
1339,22.1,skn-1,17.5
1340,27.0,skn-1,17.9
1341,23.9,skn-1,13.9
1342,25.4,skn-1,15.9
1343,23.6,skn-1,15.8
1344,23.3,skn-1,18.6
1345,24.5,skn-1,19.3
1346,22.9,skn-1,16.7
1347,11.5,cyp-35A2,10.1
1348,14.1,akt-1,24.0
1349,14.7,daf-16,12.1
1350,14.7,hsf-1,10.8
1351,14.7,akt-2,21.8
1352,14.7,sgk-1,9.4
1353,15.8,glp-1,27.6
1354,18.3,glp-1,27.6
1355,15.3,eak-3,15.8
1356,18.3,eak-3,16.4
1357,15.0,akt-2,19.1
1358,15.0,sgk-1,10.2
1359,14.0,daf-16,10.5
1360,13.2,smk-1,11.6
1361,14.6,sdf-9,16.2
1362,18.6,sdf-9,15.8
1363,15.3,eak-6,15.9
1364,16.5,eak-6,16.9
1365,14.7,rle-1,14.2
1366,14.9,rle-1,12.0
1367,20.0,aak-2,17.6
1368,19.4,par-4,18.0
1369,20.0,par-5,17.0
1370,20.0,ftt-2,17.0
1371,20.0,daf-16,
1372,14.6,elt-1,8.9
1373,14.6,elt-2,10.0
1374,14.6,elt-3,15.2
1375,14.6,elt-5,11.9
1376,14.6,elt-6,11.7
1377,14.6,end-1,14.4
1378,14.6,med-1,14.4
1379,14.6,elt-1,11.6
1380,14.6,elt-2,8.7
1381,14.6,elt-3,12.8
1382,14.6,elt-5,12.9
1383,14.6,elt-6,13.4
1384,14.6,end-1,13.7
1385,14.6,end-3,13.6
1386,14.6,med-1,13.3
1387,13.3,elt-1,12.0
1388,13.3,elt-2,12.0
1389,13.3,elt-3,12.4
1390,13.3,elt-5,13.2
1391,13.3,elt-6,14.3
1392,13.3,end-1,13.0
1393,13.3,end-3,18.1
1394,13.3,med-1,16.9
1395,16.1,egl-27,16.4
1396,16.1,egr-1,16.9
1397,15.5,egl-27,15.7
1398,15.5,egr-1,17.9
1399,18.1,elt-3,15.1
1400,14.2,daf-2,24.5
1401,12.5,elt-3,12.7
1402,12.3,elt-3,12.1
1403,15.5,col-144,14.3
1404,15.5,ugt-9,15.7
1405,14.0,col-144,14.1
1406,14.0,ugt-9,13.3
1407,17.2,wwp-1,
1408,18.7,pha-4,16.7
1409,18.7,pha-4,15.6
1410,18.7,pha-4,16.3
1411,18.1,daf-16,17.2
1412,19.4,daf-16,18.6
1413,18.4,wwp-1,
1414,18.8,wwp-1,
1415,21.7,ubc-18,
1416,18.7,ubc-18,18.9
1417,18.6,ubc-18,18.3
1418,18.74,mekk-3,26.57
1419,16.87,mekk-3,26.82
1420,16.36,mekk-3,26.27
1421,16.36,pdk-1,
1422,17.04,mekk-3,28.94
1423,18.99,mekk-3,31.4
1424,16.24,mekk-3,30.84
1425,19.02,mekk-3,27.48
1426,16.65,mekk-3,27.94
1427,16.56,mekk-3,30.38
1428,16.41,mekk-3,23.97
1429,18.21,mekk-3,27.9
1430,17.48,mekk-3,27.98
1431,17.49,mekk-3,30.29
1432,19.69,mekk-3,35.89
1433,18.25,mekk-3,42.29
1434,17.48,nhr-49,16.8
1435,18.28,nhr-49,16.95
1436,18.37,nhr-8,14.44
1437,17.59,nhr-8,13.89
1438,19.6,mekk-3,30.44
1439,18.28,mekk-3,30.54
1440,20.91,mekk-3,31.95
1441,19.6,mekk-3,30.33
1442,12.76,mekk-3,17.68
1443,11.91,mekk-3,17.08
1444,18.76,mekk-3,26.19
1445,20.34,mekk-3,27.01
1446,20.49,mekk-3,26.88
1447,25.1,daf-16,
1448,20.7,daf-16,
1449,16.6,daf-16,13.3
1450,20.3,sgk-1,21.9
1451,18.7,sgk-1,19.8
1452,18.7,sgk-1,
1453,16.5,ddl-1,18.4
1454,18.0,ddl-2,20.2
1455,17.2,ddl-2,19.9
1456,18.5,hsf-1,11.2
1457,18.8,hsf-1,10.4
1458,19.0,ddl-1,23.4
1459,18.2,ddl-1,24.1
1460,19.5,ddl-2,24.0
1461,17.1,ddl-2,21.8
1462,16.8,ddl-2,23.5
1463,13.05,let-363,15.51
1464,15.97,let-363;daf-15,20.9
1465,14.04,let-363;daf-15,21.22
1466,18.56,rsks-1,25.33
1467,19.02,rsks-1,22.77
1468,17.22,rab-10,23.9
1469,16.56,rab-10,20.0
1470,17.22,sams-1,24.55
1471,16.56,sams-1,21.73
1472,16.49,ddr-2,20.43
1473,14.04,ddr-2,17.34
1474,17.41,ddr-2,21.17
1475,18.44,ddr-2,20.44
1476,18.76,ddr-2,22.15
1477,21.68,ddr-2,25.2
1478,12.0,daf-16,13.0
1479,12.0,daf-18,10.0
1480,19.0,daf-18,
1481,19.0,daf-20,
1482,14.0,daf-2,35.0
1483,25.0,daf-2,43.0
1484,14.69,gcy-35,
1485,14.31,gcy-35,
1486,14.89,gcy-35,
1487,14.39,gcy-35,
1488,14.69,tax-4,
1489,14.31,tax-4,
1490,14.89,tax-4,
1491,14.39,tax-4,
1492,13.73,gcy-35,
1493,13.44,gcy-35,
1494,14.43,gcy-35,
1495,13.76,gcy-35,16.9
1496,13.32,gcy-35,16.1
1497,12.57,gcy-35,12.2
1498,16.34,gcy-35,13.5
1499,15.36,gcy-35,15.8
1500,15.43,gcy-35,14.2
1501,13.76,gcy-33,16.1
1502,13.32,gcy-33,15.4
1503,12.57,gcy-33,16.1
1504,16.34,gcy-33,14.5
1505,15.36,gcy-33,14.9
1506,10.36,gcy-35,10.57
1507,11.54,gcy-35,10.85
1508,12.38,gcy-35,12.5
1509,14.73,gcy-35,13.08
1510,13.53,gcy-35,12.97
1511,14.15,gcy-35,13.08
1512,19.74,gcy-35,
1513,20.49,gcy-35,
1514,21.8,gcy-35,
1515,17.53,gcy-35,
1516,18.19,gcy-35,
1517,20.73,gcy-35,
1518,13.85,gcy-35,
1519,13.51,gcy-35,
1520,13.26,gcy-35,
1521,13.85,daf-16,12.2
1522,13.51,daf-16,10.06
1523,13.26,daf-16,10.18
1524,15.41,gcy-35,
1525,14.03,gcy-35,
1526,13.67,gcy-35,
1527,13.48,gcy-35,
1528,14.69,hif-1,15.48
1529,14.21,hif-1,17.18
1530,13.27,hif-1,14.54
1531,13.48,egl-9,15.51
1532,15.41,egl-9,16.75
1533,14.03,egl-9,17.14
1534,31.0,daf-16,
1535,31.0,egl-27,28.0
1536,14.7,daf-2,26.0
1537,14.7,age-1,20.7
1538,17.5,daf-16,16.6
1539,14.7,akt-2,14.2
1540,18.7,daf-16,16.0
1541,22.8,daf-16,19.4
1542,19.8,pkc-2,27.1
1543,19.8,pkc-2,25.0
1544,19.9,pkc-2,23.4
1545,19.9,pkc-2,22.7
1546,19.6,trpa-1,25.2
1547,19.6,pkc-2,25.9
1548,19.7,trpa-1,25.1
1549,19.7,pkc-2,26.4
1550,20.4,daf-16,17.5
1551,19.8,daf-16,13.6
1552,21.6,trpa-1,
1553,21.6,pkc-2,
1554,21.37,trpa-1,
1555,21.37,pkc-2,
1556,21.25,trpa-1,
1557,21.25,pkc-2,
1558,15.35,trpa-1,22.85
1559,15.35,trpa-1,23.92
1560,19.65,trpa-1,22.41
1561,18.66,pkc-2,25.33
1562,27.18,pkc-2,22.81
1563,20.0,pkc-2,17.5
1564,14.37,pkc-2,13.95
1565,20.66,trpa-1,24.66
1566,18.18,trpa-1,24.54
1567,19.33,trpa-1,
1568,20.55,sgk-1,25.27
1569,21.09,trpa-1,18.54
1570,21.09,trpa-1,24.36
1571,10.2,skn-1,13.0
1572,10.2,daf-16,11.9
1573,21.4,daf-16,19.5
1574,10.2,daf-2,25.8
1575,12.8,vang-1,14.9
1576,17.3,daf-16,12.7
1577,17.3,daf-2,29.1
1578,20.9,daf-3,22.3
1579,23.9,daf-16,20.4
1580,22.8,daf-12,22.8
1581,12.6,daf-2; dpy-20,27.9
1582,12.6,daf-16; dpy-20,10.9
1583,17.39,mxl-2,
1584,13.5,mxl-1,
1585,13.5,mxl-2,
1586,14.8,mxl-2,14.2
1587,14.8,mml-1,
1588,20.0,mxl-2,14.2
1589,20.0,daf-2,
1590,17.85,pha,12.85
1591,20.0,mxl-2,19.13
1592,20.0,mml-1,15.8
1593,20.0,mxl-2,12.8
1594,20.0,mxl-1,24.4
1595,20.0,mdl-1,
1596,20.0,mxl-1,
1597,12.67,ttr-5,14.46
1598,12.67,epc-1,15.24
1599,12.67,pod-1,18.38
1600,12.67,acs-5,19.24
1601,12.67,Y119D3_446.d,18.48
1602,12.67,daf-2,17.36
1603,12.67,Y71H2_390.d,15.67
1604,12.67,ral-1,15.03
1605,12.67,T28D6.4,16.91
1606,12.67,K12H4.5,20.0
1607,12.67,T28A8.6,16.25
1608,12.67,pat-4,15.67
1609,12.67,Y66A7A1,15.83
1610,12.67,Y71H2_388.c,24.84
1611,11.73,grl-19,14.86
1612,11.73,asm-3,17.8
1613,11.73,cutl-28,15.05
1614,11.73,F42A6.1,14.33
1615,11.73,B0546.3,14.88
1616,11.73,aat-2,15.35
1617,11.73,C46G7.2,16.87
1618,11.73,K07H8.8,14.31
1619,11.73,F49C12.9,14.0
1620,11.73,T05A1.5,14.07
1621,11.73,inx-8,13.92
1622,11.73,inx-9,14.19
1623,11.73,spe-26,15.57
1624,11.73,R10H10.7,14.35
1625,11.73,C42C1.3,18.65
1626,11.73,amt-2,14.3
1627,11.73,Y45F10D.8,14.03
1628,11.73,set-26,14.05
1629,11.73,W03G1.5,18.09
1630,11.73,elt-6,15.77
1631,11.73,tes-1,18.76
1632,11.73,mrlp-1,17.05
1633,11.73,acdh-13,18.4
1634,11.73,rps-23,26.46
1635,11.73,qars-1,16.35
1636,11.73,ogdh-1,21.05
1637,11.73,F13B6.1,17.58
1638,11.73,F08B4.7,14.25
1639,11.73,tkt-1,14.62
1640,11.73,mars-1,14.4
1641,11.73,scl-8,13.89
1642,11.73,dld-1,18.9
1643,11.73,Y69A2A_2991.c,13.93
1644,17.1,tor,21.8
1645,18.7,tor,24.8
1646,21.6,tor,26.0
1647,14.4,glp-1,17.7
1648,16.0,glp-1,19.8
1649,19.2,glp-1,34.7
1650,17.6,glp-1,23.8
1651,14.16,vha-16,14.16
1652,17.5,vha-16,15.6
1653,16.8,vha-16,14.1
1654,16.1,vha-16,14.6
1655,17.42,lmp-1,17.14
1656,16.7,lmp-1,16.8
1657,17.9,lmp-1,15.8
1658,15.8,lmp-1,17.8
1659,17.22,atg-18,16.66
1660,17.9,atg-18,16.8
1661,17.3,atg-18,14.4
1662,15.4,atg-18,13.0
1663,16.3,hif-1,17.1
1664,14.4,hif-1,15.8
1665,15.3,aha-1,15.2
1666,15.8,aha-1,15.6
1667,16.3,vhl-1,23.1
1668,14.4,vhl-1,23.5
1669,14.4,egl-9,20.5
1670,16.3,egl-9,21.0
1671,15.3,hif-1,15.7
1672,15.8,hif-1,15.2
1673,18.1,hif-1,16.8
1674,16.8,hif-1,15.6
1675,19.6,hif-1,19.2
1676,15.3,vhl-1,18.1
1677,15.3,egl-1,17.1
1678,23.6,sca-1,21.4
1679,23.6,unc-70,22.1
1680,22.9,let-711,15.3
1681,23.6,fasn-1,21.9
1682,22.6,mdt-15,17.7
1683,22.6,chc-1,21.0
1684,19.7,igf-1,24.8
1685,25.4,ifg-1,28.7
1686,20.3,daf-2,30.6
1687,20.3,daf-16,12.8
1688,20.3,sca-1,19.9
1689,20.3,fasn-1,17.9
1690,20.3,unc-70,19.2
1691,20.3,chc-1,20.1
1692,20.3,let-711,19.0
1693,20.3,mdt-15,16.7
1694,20.3,ifg-1,26.7
1695,16.5,vps-34,16.9
1696,16.6,atg-18,16.1
1697,14.5,pha-4,14.0
1698,18.7,pha-4,17.4
1699,18.8,pha-4,18.4
1700,20.2,pha-4,18.6
1701,18.3,vps-34,19.3
1702,17.9,vps-34,17.5
1703,19.2,vps-34,18.2
1704,18.3,bec-1,19.6
1705,17.9,bec-1,17.9
1706,19.2,bec-1,19.2
1707,17.9,lgg-1,18.0
1708,18.5,lgg-1,20.2
1709,19.2,lgg-1,18.8
1710,18.3,unc-51,18.7
1711,20.4,unc-51,22.4
1712,18.6,unc-51,18.2
1713,18.3,atg-18,19.3
1714,20.4,atg-18,19.7
1715,18.6,atg-18,18.8
1716,17.9,tor,22.7
