Wild Lifespan,Gene(s),Mutant Lifespan
17.2,aak-2,15.4
17.2,aak-2,15.4
17.2,aak-2,15.4
17.2,aak-2,15.4
17.2,aak-2,12.4
17.2,aak-2,12.4
17.2,aak-2,12.4
17.2,aak-2,12.4
17.2,par-4,16.8
17.2,par-4,16.8
17.2,par-4,16.8
17.2,par-4,16.8
17.2,sad-1,18.6
17.2,sad-1,18.6
17.2,sad-1,18.6
17.2,sad-1,18.6
17.2,kin-29,13.0
17.2,kin-29,13.0
17.2,kin-29,13.0
17.2,kin-29,13.0
17.2,mml-1,14.2
17.2,mml-1,14.2
17.2,mml-1,14.2
17.2,mml-1,14.2
18.5,glp-1,27.21
19.81,glp-1,26.19
18.48,daf-2,37.39
20.62,aak-2,16.72
15.1,daf-2,38.2
15.1,daf-2,38.2
16.1,daf-2,40.0
16.1,daf-2,40.0
19.9,rsks-1,23.3
19.4,hsf-1,14.3
20.2,hsf-1,14.7
16.9,rsks-1,20.2
18.2,rsks-1,22.3
19.4,rsks-1,22.4
20.2,rsks-1,25.2
17.7,rsks-1,22.0
17.8,rsks-1,18.0
17.8,rsks-1,21.4
16.2,rsks-1,18.5
18.6,hsf-1,12.8
18.7,hsf-1,12.2
18.6,hsf-1,12.8
18.7,hsf-1,12.2
18.4,hsf-1,11.6
17.7,hsf-1,13.2
18.4,hsf-1,11.6
17.7,hsf-1,13.2
17.8,rsks-1,21.4
16.2,rsks-1,18.5
17.8,rsks-1,21.4
16.2,rsks-1,18.5
16.9,rsks-1,20.2
18.2,rsks-1,22.3
19.9,rsks-1,23.3
20.3,rsks-1,22.3
17.8,rsks-1,21.4
16.2,rsks-1,18.5
16.5,daf-2,29.51
16.5,pmq-1,15.36
16.5,pmq-1,15.36
11.97,pmq-1,13.84
19.89,daf-9,18.63
19.89,aak-2,23.78
19.89,nhr-8,13.72
17.08,eat-2,21.5
22.64,skn-1,20.29
22.3,skn-1,21.02
22.43,eif-1,28.16
22.28,eif-1A,26.84
22.51,daf-16,19.74
23.55,daf-16,21.07
23.55,daf-16;skn-1,16.91
22.62,daf-16,18.88
22.62,daf-16;skn-1,16.16
10.0,ets-4,11.6
13.3,ets-4,16.7
12.2,ets-4,16.3
12.9,ets-4,16.7
20.0,daf-2,38.33
15.82,isp-1,24.84
11.5,daf-2,29.4
14.3,aakb-1,12.6
14.2,aakb-1,12.5
13.5,aakb-1,13.1
14.4,aakb-1,12.6
15.1,aakb-1,12.5
11.1,daf-2,29.5
11.8,daf-2,28.9
11.7,daf-2,29.9
11.3,daf-2,29.0
9.7,aakg-4,10.8
9.7,daf-2,21.5
9.7,daf-2,21.5
9.9,daf-2,23.8
9.9,daf-2,23.8
9.9,aakg-4,10.4
9.9,daf-2,23.8
9.9,daf-2;aakg-4,18.2
20.49,ceh-23,20.91
20.49,ceh-23,20.91
20.49,ceh-23,20.91
17.78,ceh-23,17.98
17.78,ceh-23,17.98
17.78,ceh-23,17.98
17.78,ceh-23,17.98
17.78,ceh-23,17.98
17.78,ceh-23,17.98
19.28,ceh-23,20.16
19.28,ceh-23,20.16
19.28,ceh-23,20.16
17.49,ceh-23,18.12
17.49,ceh-23,18.12
17.49,ceh-23,18.12
17.09,ceh-23,16.13
17.09,ceh-23,16.13
17.09,ceh-23,16.13
17.79,ceh-23,19.16
17.79,ceh-23,19.16
17.79,ceh-23,19.16
17.79,ceh-23,19.16
17.79,ceh-23,19.16
18.72,ceh-23,18.57
18.72,ceh-23,18.57
18.72,ceh-23,18.57
18.72,ceh-23,18.57
18.72,ceh-23,18.57
16.76,ceh-23,19.7
16.76,ceh-23,19.7
15.61,ceh-23,15.4
15.61,ceh-23,15.4
13.0,akt-1,15.0
13.0,akt-1,15.0
13.0,akt-1,15.0
13.0,akt-1,15.0
18.04,hif-1,21.03
16.88,hif-1,19.53
18.67,hif-1,21.61
20.13,hif-1,21.85
17.99,hif-1,20.8
22.46,hif-1,23.03
24.45,hif-1,24.2
22.39,hif-1,20.92
21.19,hif-1,25.16
26.0,hif-1,21.56
22.67,hif-1,21.89
23.32,hif-1,22.82
31.07,hif-1,33.32
34.48,hif-1,34.9
28.69,hif-1,28.47
33.28,hif-1,31.56
31.98,hif-1,31.95
18.04,hif-1,21.03
18.65,hif-1,20.76
20.13,hif-1,21.85
18.73,hif-1,21.18
20.64,hif-1,24.59
21.19,hif-1,25.16
26.0,hif-1,21.56
22.67,hif-1,21.89
22.87,hif-1,22.27
31.07,hif-1,33.32
34.48,hif-1,34.9
28.69,hif-1,28.47
33.28,hif-1,31.56
31.98,hif-1,31.95
15.2,daf-2,48.6
15.2,daf-2,48.6
15.2,daf-2,48.6
15.2,daf-2,48.6
13.1,daf-16,10.8
13.6,hcf-1,16.3
13.9,daf-2,30.3
14.5,hcf-1,16.0
14.5,hcf-1,16.0
14.7,daf-16,9.2
14.7,daf-2,28.7
13.4,age-1,20.0
13.6,glp-1,18.0
16.66,atm-1,21.33
17.33,egl-1,14.33
17.0,atm-1,20.5
15.0,skn-1,11.0
13.75,daf-16,11.5
15.0,sir-2.1,14.66
15.0,cep-1,17.66
15.9,skn-1,12.3
15.9,cep-1,17.6
15.9,cep-1,17.6
15.9,cep-1,17.6
17.0,cep-1,19.1
16.3,atm-1,19.5
16.3,atm-1,19.5
16.3,egl-1,14.6
16.3,egl-1,14.6
20.0,mxl-3,28.0
17.1,daf-2,46.9
16.2,unc-64,40.3
17.6,unc-13,35.7
17.6,unc-13,38.9
17.6,unc-13,35.7
17.6,unc-13,38.9
17.6,unc-13; daf-16,21.6
17.6,unc-13;daf-16,23.9
16.2,eat-2,22.6
18.2,eat-2,21.2
17.5,fer-15;fem-1,21.3
22.9,fer-15;fem-1,21.2
22.9,fer-15;fem-1,21.5
22.9,fer-15;fem-1,19.2
17.5,eat-2,23.7
17.5,eat-2,31.1
22.9,eat-2,28.7
19.7,eat-2,22.4
19.5,eat-2,27.6
24.5,eat-2,27.6
24.5,eat-2,27.6
24.5,eat-2,22.4
24.5,eat-2,22.4
19.8,eat-2;rrf-3,19.3
21.4,daf-15;unc-24,23.5
21.4,daf-15;unc-24,23.5
19.9,daf-15;unc-24,21.8
20.6,daf-15;unc-24,22.6
21.4,daf-15;unc-24,25.1
20.6,daf-15;unc-24,22.6
22.9,rab-10,27.9
22.9,rab-10,27.9
17.5,rab-10,30.7
17.5,rab-10,30.7
17.5,daf-2;fer-15;fem-1,28.4
19.7,daf-2;fer-15;fem-1,31.0
19.5,daf-2;fer-15;fem-1,34.1
19.8,daf-2;fer-15;fem-1,32.7
14.6,daf-2;rsks-1,50.51
19.02,daf-2;rsks-1,46.29
21.1,daf-2;rsks-1,42.86
22.98,daf-2;rsks-1,49.6
20.0,aak-2,21.71
18.63,aak-2,21.53
20.0,aak-2,23.19
17.33,tax-6,20.0
16.8,tax-6,14.9
21.5,daf-2,35.0
11.81,daf-2,41.81
20.52,daf-2,33.68
21.33,daf-2,35.33
21.57,daf-2,35.26
21.87,daf-2,32.5
21.66,daf-2,35.55
19.0,glp-1,23.9
18.9,mes-1,18.2
18.9,mes-1,24.2
19.9,daf-12,17.6
19.9,daf-9,18.5
19.4,daf-16,17.2
19.4,skn-1,16.1
19.4,kri-1,19.0
19.3,daf-2,52.3
19.1,glp-1,23.0
19.1,rrf-1,19.4
18.8,daf-16,16.8
19.3,daf-16,16.3
19.4,kri-1,19.0
19.5,skn-1,16.3
18.3,daf-16,15.9
19.3,daf-16,17.9
18.0,glp-1,22.9
19.5,glp-1,26.2
18.9,glp-1,23.4
18.9,glp-1,23.4
19.3,glp-1,22.6
19.3,glp-1,22.6
19.3,mes-1,18.4
19.3,mes-1,24.5
18.5,mes-1,18.1
18.5,mes-1,23.9
20.4,daf-12,18.0
20.4,daf-9,18.3
19.3,daf-12,17.2
19.3,daf-9,18.8
20.1,daf-16,17.5
20.1,skn-1,16.0
18.8,daf-16,17.0
18.8,skn-1,16.4
20.1,kri-1,19.7
20.1,kri-1,19.7
18.8,kri-1,18.1
18.8,kri-1,18.1
19.0,daf-2,52.3
19.6,daf-2,52.3
19.0,rrf-1,19.1
19.1,rrf-1,19.8
19.5,daf-16,17.0
19.4,daf-16,16.7
18.9,daf-16,14.6
18.6,skn-1,14.6
20.4,skn-1,18.0
20.3,daf-2,33.9
20.3,daf-2,33.9
20.3,daf-2,33.9
20.3,daf-2,33.9
20.3,daf-2,33.9
20.3,daf-2,33.9
20.3,daf-2,33.9
20.3,daf-2,33.9
20.3,daf-2,33.9
20.3,daf-2,33.9
20.3,daf-2,33.9
20.3,daf-2,33.9
20.3,daf-2,33.9
20.3,daf-2,33.9
20.3,daf-2,33.9
20.3,daf-2,33.9
20.3,daf-2,33.9
20.3,daf-2,33.9
20.3,daf-2,33.9
20.3,daf-2,33.9
20.3,daf-2,33.9
20.3,daf-2,33.9
20.3,daf-2,33.9
20.3,daf-16;daf-2,11.9
20.3,daf-16;daf-2,11.9
20.3,daf-16;daf-2,11.9
20.3,daf-16;daf-2,11.9
20.3,daf-16;daf-2,11.9
20.3,daf-16;daf-2,11.9
20.3,daf-16;daf-2,11.9
20.3,daf-16;daf-2,11.9
20.3,daf-16;daf-2,11.9
20.3,daf-16;daf-2,11.9
20.3,daf-16;daf-2,11.9
20.3,daf-16;daf-2,11.9
20.3,daf-16;daf-2,11.9
20.3,daf-16;daf-2,11.9
20.3,daf-16;daf-2,11.9
20.3,daf-16;daf-2,11.9
20.3,daf-16;daf-2,11.9
20.3,daf-16;daf-2,11.9
20.3,daf-16;daf-2,11.9
20.3,daf-16;daf-2,11.9
20.3,daf-16;daf-2,11.9
20.3,daf-16;daf-2,11.9
20.3,daf-16;daf-2,11.9
20.3,eat-2,22.9
20.3,eat-2,22.9
20.3,eat-2,22.9
20.3,eat-2,22.9
20.3,eat-2,22.9
20.3,eat-2,22.9
20.3,eat-2,22.9
20.3,eat-2,22.9
20.3,eat-2,22.9
20.3,eat-2,22.9
20.3,eat-2,22.9
20.3,eat-2,22.9
20.3,eat-2,22.9
20.3,eat-2,22.9
20.3,eat-2,22.9
20.3,eat-2,22.9
20.3,eat-2,22.9
20.3,eat-2,22.9
20.3,eat-2,22.9
20.3,eat-2,22.9
20.3,eat-2,22.9
20.3,eat-2,22.9
20.3,eat-2,22.9
15.9,clk-1,17.1
32.6,clk-1,34.6
20.8,nuo-6,33.9
20.8,isp-1,32.9
20.8,eat-2,29.4
21.6,nuo-6,32.1
21.6,isp-1,32.9
21.6,eat-2,27.6
14.66,daf-2,25.33
17.93,daf-2,36.55
17.93,daf-2,35.17
18.62,daf-2,37.24
17.24,daf-2,27.93
17.93,daf-2,34.48
20.68,daf-2,40.0
17.93,daf-2,35.17
15.86,daf-2,31.03
18.5,daf-2,45.9
18.5,daf-2,44.1
22.5,isp-1,35.0
19.6,daf-2,36.3
19.6,isp-1,33.0
19.6,daf-16,17.0
14.9,clk-1,18.4
14.9,clk-1,19.8
14.9,clk-3,20.4
14.9,clk-3,20.4
14.9,clk-3,20.4
14.9,gro-1,19.2
14.9,clk-3,20.4
14.9,age-1;fer-15,26.3
16.1,clk-1,17.3
16.1,clk-1,19.3
16.1,clk-3,19.9
16.1,clk-3,19.9
16.1,clk-3,19.9
16.1,clk-3,19.9
22.0,clk-1,29.3
22.0,clk-1,31.0
14.9,daf-16,15.1
14.9,daf-16,15.1
14.9,daf-16,15.1
14.9,daf-2,29.7
8.5,daf-2,15.9
18.9,rsks-1,22.4
20.0,rsks-1,21.9
18.9,daf-2,41.1
20.0,daf-2,42.2
18.9,daf-2;rsks-1,68.1
20.0,daf-2;rsks-1,67.2
18.9,atfs-1,19.1
20.0,atfs-1,19.7
18.9,aak-2,15.9
20.0,aak-2,16.0
19.5,drp-1,21.3
18.7,drp-1,21.4
19.1,drp-1,18.1
20.4,daf-2;rsks-1,55.7
19.8,daf-2;rsks-1,49.9
19.7,daf-2;rsks-1,51.7
20.4,daf-2;rsks-1,55.7
19.8,daf-2;rsks-1,49.9
19.7,daf-2;rsks-1,51.7
20.4,daf-2;rsks-1,55.7
19.8,daf-2;rsks-1,49.9
19.7,daf-2;rsks-1,51.7
18.0,rsks-1,21.2
18.2,rsks-1,21.2
18.0,daf-2,46.1
18.2,daf-2,43.3
18.0,daf-2;rsks-1,65.2
18.2,daf-2;rsks-1,59.1
19.09,atfs-1,19.09
12.07,daf-2,21.11
12.07,daf-2,21.11
12.07,daf-2,21.11
12.07,daf-2,21.11
12.07,daf-2,21.11
12.07,daf-2,21.11
12.07,daf-2,21.11
12.07,daf-2,21.11
12.07,daf-2,27.48
12.07,daf-2,27.48
12.07,daf-2,27.48
12.07,daf-2,27.48
12.07,daf-2,27.48
12.07,daf-2,27.48
12.07,daf-2,27.48
12.07,daf-2,28.44
12.07,daf-2,28.44
12.07,daf-2,28.44
12.07,daf-2,28.44
12.07,daf-2,28.44
12.07,daf-2,28.44
12.07,daf-2,28.44
13.0,ins-6,14.5
20.3,daf-2,33.9
14.7,daf-2,36.7
14.7,daf-2,36.7
14.7,daf-2;daf-16,10.1
18.81,eat-2,21.98
19.26,eat-2,23.84
19.89,aak-2,23.78
19.89,daf-9,18.63
19.31,eat-2,25.38
17.31,eat-2,27.18
19.89,nhr-8,13.72
19.89,daf-7,19.97
19.7,daf-2,39.1
18.9,daf-2,45.8
19.7,daf-2,39.1
18.9,daf-2,45.8
19.7,daf-2; rsks-1,47.0
18.9,daf-2; rsks-1,49.4
19.7,rsks-1,21.0
18.9,rsks-1,20.1
18.9,daf-16,13.9
18.9,daf-16,13.9
18.9,daf-2,31.3
18.9,daf-2,31.3
18.9,daf-2,28.6
18.9,daf-2,28.6
18.9,pdk-1,21.5
18.9,pdk-1,21.5
18.9,pdk-1,19.1
18.9,pdk-1,19.1
19.0,daf-16,13.0
19.0,daf-16,13.0
19.0,daf-2,28.6
19.0,daf-2,28.6
19.0,daf-2,26.1
19.0,daf-2,26.1
22.56,cep-1,21.2
21.24,cep-1,20.78
22.44,cep-1,21.36
22.44,cep-1,21.36
21.89,cep-1,19.81
21.89,cep-1,19.81
22.56,cep-1,21.2
22.56,cep-1,21.2
22.56,cep-1,21.2
22.56,cep-1,21.2
21.4,cep-1,20.78
21.4,cep-1,20.78
21.4,cep-1,20.78
19.7,cep-1,19.75
19.42,gas-1,13.97
19.42,gas-1,13.97
13.87,cep-1,14.3
13.87,cep-1,14.3
17.15,cep-1,18.56
17.15,isp-1,27.46
17.15,cep-1;isp-1,22.55
17.15,mev-1,13.73
17.15,cep-1,18.56
17.15,cep-1;mev-1,15.78
19.23,cep-1,19.52
19.23,isp-1,28.25
19.23,cep-1;isp-1,21.08
19.23,mev-1,12.99
19.23,cep-1,19.52
19.23,cep-1;mev-1,16.1
22.41,gas-1,15.28
22.41,mev-1,13.11
22.41,nuo-6,25.36
22.41,isp-1,24.4
17.0,nuo-6,22.85
18.0,daf-16,16.9
21.8,sod-1,32.6
21.8,sod-1,32.6
19.7,sod-1,25.4
19.7,sod-1,25.4
19.2,daf-16,12.5
19.2,daf-16,12.5
19.2,daf-16,12.5
19.2,daf-16,12.5
19.2,daf-16,12.5
19.2,daf-16,12.5
19.2,daf-16,12.5
19.2,daf-16,12.5
19.2,daf-16,12.5
19.2,daf-16,12.5
19.2,daf-16,12.5
18.8,isp-1,34.67
18.26,isp-1,34.27
17.55,isp-1,35.48
18.46,ced-4,17.98
18.7,ced-4,18.54
17.55,ced-4,18.57
19.68,egl-1,19.16
19.08,egl-1,19.1
19.92,egl-1,18.96
19.24,egl-1,18.6
19.08,egl-1,19.1
19.92,egl-1,18.96
20.44,ced-13,21.44
22.16,ced-13,21.74
19.5,ced-13,20.34
19.26,ced-13,19.44
20.16,ced-13,19.92
20.22,ced-13,19.37
20.19,isp-1;ced-4,25.97
20.48,isp-1;ced-4,27.02
20.74,isp-1;ced-4,26.02
20.19,isp-1;ced-4,25.97
20.48,isp-1;ced-4,27.02
20.74,isp-1;ced-4,26.02
19.48,nuo-6;ced-4,31.34
20.0,nuo-6;ced-4,31.9
19.44,nuo-6;ced-4,31.18
20.08,nuo-6;ced-4,26.22
21.08,nuo-6;ced-4,26.4
19.08,nuo-6;ced-4,27.19
18.88,rrf3,21.7
18.88,eat-2,25.9
18.88,glp-1,23.29
18.88,clk-1,28.47
18.88,mev-1,18.09
13.92,daf-2,36.26
13.92,daf-2,36.26
13.92,daf-2,36.26
13.92,daf-2,36.26
13.92,rrf3,15.38
13.92,rrf3,15.38
13.92,rrf3,15.38
13.92,rrf3,15.38
13.92,rrf3,15.38
20.84,daf-16,12.84
19.12,rrf3,21.7
19.12,rrf3,21.7
19.12,rrf3,21.7
12.56,eak-3,11.84
25.47,eak-3,24.54
12.7,eak-3,13.7
12.7,eak-4,12.9
12.7,akt-1,13.7
12.7,akt-1,13.7
12.7,eak-6,12.9
19.21,age-1,26.89
19.21,daf-2,34.67
15.15,drp-1,15.44
15.15,age-1,26.87
15.15,daf-2,28.57
15.03,isp-1;ctb-1,24.55
15.03,clk-1,24.6
20.8,daf-16,19.0
19.7,daf-16,17.4
21.9,eat-2,26.3
19.7,eat-2,26.3
21.9,clk-1,24.1
19.3,daf-16,14.0
19.2,daf-16,14.1
10.8,daf-16,4.6
12.5,daf-16,7.5
12.5,daf-16,7.5
10.8,daf-16,4.6
9.6,daf-16,4.7
24.0,unc-64,33.0
24.0,unc-31,35.0
13.6,pep-2,14.2
13.6,daf-16,10.4
13.6,pep-2,14.2
11.0,daf-16,8.9
11.0,pep-2,9.0
11.0,pep-2,9.0
17.6,daf-16,14.6
14.0,daf-16,11.4
14.0,tub-1,16.8
14.6,lin-14,18.7
21.6,lin-14,25.1
21.6,lin-14,25.1
16.0,lin-4,6.8
16.0,lin-4,6.8
16.67,ifta-2,23.26
18.96,ifta-2,23.02
18.96,ifta-2,22.36
16.7,gpa-1,20.4
16.7,gpa-1,20.4
16.7,gpa-11,17.5
16.7,gpa-11,16.8
17.5,gpa-11,21.1
17.5,gpa-11,22.8
17.5,gpa-11,17.0
17.5,daf-16,15.8
17.5,daf-16,15.8
17.5,daf-16,15.8
17.5,daf-16,15.8
18.0,odr-3,19.9
18.0,gpa-11,20.9
18.0,gpa-11,20.9
18.0,gpa-11,18.5
18.0,gpa-11,18.5
19.1,daf-16,14.3
19.1,daf-16,19.1
16.4,daf-3,15.2
15.4,daf-3,12.9
18.6,daf-3,13.1
24.8,daf-3,16.6
19.0,daf-3,15.5
16.6,daf-3,14.4
16.4,daf-16,12.6
18.9,daf-16,18.0
16.6,daf-16,16.2
16.6,daf-16,12.1
16.8,daf-3,16.0
18.9,daf-3,15.5
16.6,daf-3,14.4
18.9,daf-3,17.4
16.6,daf-3,16.3
14.9,bec-1,13.8
17.2,Ce-atg7,17.2
19.0,daf-16,17.0
18.2,par-5,15.6
18.2,par-5,15.6
18.9,daf-16,14.3
18.9,daf-16,14.3
18.2,ife-2,22.4
18.2,ife-2,22.4
11.6,ife-2,16.0
18.2,ife-2,22.4
18.2,ife-2,22.4
18.2,ife-2,22.4
18.2,ife-2,22.4
11.6,let-363,13.4
18.2,rsks-1,19.1
18.2,rskn-1,19.8
18.2,mnk-1,13.9
18.4,daf-16,13.2
20.7,daf-16,19.2
20.7,rpn-1,13.8
20.7,rpn-3,13.2
20.7,rpn-6,14.1
20.7,rpn-7,13.1
20.7,rpn-8,13.4
20.7,rpn-9,13.7
20.7,rpn-10,18.1
20.7,rpn-11,13.6
20.7,rpn-12,19.0
20.7,rpt-1,13.2
20.7,rpt-4,13.1
20.7,rpt-5,12.7
20.7,rpt-6,12.8
20.7,pas-1,20.0
20.7,pas-5,13.5
20.7,pas-6,14.1
20.7,pas-7,21.1
20.7,pbs-2,14.1
20.7,pbs-3,14.1
20.7,pbs-4,14.3
20.7,pbs-5,14.5
20.7,pbs-6,20.1
20.7,pbs-7,13.5
20.7,daf-16,19.2
20.7,rpn-1,13.8
20.7,rpn-3,13.2
20.7,rpn-6,14.1
20.7,rpn-7,13.1
20.7,rpn-8,13.4
20.7,rpn-9,13.7
20.7,rpn-10,18.1
20.7,rpn-11,13.6
20.7,rpn-12,19.0
20.7,rpt-1,13.2
20.7,rpt-4,13.1
20.7,rpt-5,12.7
20.7,rpt-6,12.8
20.7,pas-1,20.0
20.7,pas-5,13.5
20.7,pas-6,14.1
20.7,pas-7,21.1
20.7,pbs-2,14.1
20.7,pbs-3,14.1
20.7,pbs-4,14.3
20.7,pbs-5,14.5
20.7,pbs-6,20.1
20.7,pbs-7,13.5
18.6,daf-16,16.4
18.6,cul-1,18.6
18.6,cul-2,16.4
18.6,cul-3,19.7
18.6,cul-4,19.7
18.6,cul-5,21.3
18.6,cul-6,19.7
18.6,daf-16,16.4
18.6,cul-1,18.6
18.6,cul-2,16.4
18.6,cul-3,19.7
18.6,cul-4,19.7
18.6,cul-5,21.3
18.6,cul-6,19.7
20.7,lin-23,19.1
20.7,lin-23,17.2
16.3,lin-23,13.0
16.3,lin-23,13.2
16.2,lin-23,14.7
16.2,lin-23,13.4
14.7,"R13H8.1, daf-16",8.1
14.7,"Y76A2A.2, cua-1",12.9
14.7,F28D1.9,7.6
14.7,Y61A9LA.5,8.9
14.7,BE10.2,10.2
14.7,"T07D3.7, alg-2",11.1
14.7,"F39H11.2, tlf-1",11.3
14.7,F52C6.2,11.9
14.7,"F41E6.4, smk-1",11.6
14.7,"M01E5.5, top-1",11.8
14.7,C14A4.9,12.6
14.7,F30A10.6,11.0
14.7,"F20B6.8, hpk-1",9.2
14.7,M57.2,11.7
14.7,"C05D11.2, vps-16",11.6
14.7,"ZK270.1, ptr-23",12.8
14.7,C29F9.2,12.9
14.7,"T01C8.1, aak-2",6.8
14.7,C29F9.1,15.3
14.7,"R09B3.5, mag-1",12.4
14.7,"R144.4, wip-1",13.8
14.7,"Y17G7B.5, mcm-2",12.6
14.7,Y42G9A.4,12.6
14.7,"C29E6.1, let-653",12.7
14.7,B0303.9,12.4
14.7,"F45E1.6, his-71",11.9
14.7,"F41H10.7, elo-5",13.3
14.7,C31H2.1,14.0
14.7,D2085.5,14.2
14.7,"F44B9.3, cit-1.2",15.7
14.7,D1069.3,13.9
14.7,R12B2.6,11.5
14.7,"F20H11.3, mdh-1",13.2
14.7,"Y76A2A.2, cua-1",12.9
14.7,F28D1.9,7.6
14.7,Y61A9LA.5,8.9
14.7,BE10.2,10.2
14.7,"T07D3.7, alg-2",11.1
14.7,"F39H11.2, tlf-1",11.3
14.7,F52C6.2,11.9
14.7,"F41E6.4, smk-1",11.6
14.7,"M01E5.5, top-1",11.8
14.7,C14A4.9,12.6
14.7,F30A10.6,11.0
14.7,"F20B6.8, hpk-1",9.2
14.7,M57.2,11.7
14.7,"C05D11.2, vps-16",11.6
14.7,"ZK270.1, ptr-23",12.8
14.7,C29F9.2,12.9
14.7,"T01C8.1, aak-2",6.8
14.7,C29F9.1,15.3
14.7,"R09B3.5, mag-1",12.4
14.7,"R144.4, wip-1",13.8
14.7,"Y17G7B.5, mcm-2",12.6
14.7,Y42G9A.4,12.6
14.7,"C29E6.1, let-653",12.7
14.7,B0303.9,12.4
14.7,"F45E1.6, his-71",11.9
14.7,"F41H10.7, elo-5",13.3
14.7,C31H2.1,14.0
14.7,D2085.5,14.2
14.7,"F44B9.3, cit-1.2",15.7
14.7,D1069.3,13.9
14.7,R12B2.6,11.5
14.7,"F20H11.3, mdh-1",13.2
14.7,M05B5.2,8.1
14.7,F43D2.1,11.7
14.7,M05B5.2,8.1
14.7,F43D2.1,11.7
14.7,"T23F2.1, tag-249",6.1
14.7,"Y80D3A.5, cyp-42A1",6.0
14.7,F33H2.8,9.4
14.7,"C03D6.3, cel-1",6.0
14.7,"H04M03.4, glf-1",7.5
14.7,T19B10.2,9.7
14.7,W04G3.2,12.4
14.7,C06A5.1,9.0
14.7,C26B9.3,12.9
14.7,"F19B6.2, ufd-1",5.3
14.7,C33H5.18,6.7
14.7,"Y66H1B.4, spl-1",11.4
14.7,"F28B12.3, vrk-1",9.4
14.7,"W03C9.3, rab-7",10.0
14.7,CD4.4,9.7
14.7,C40H5.6,8.4
14.7,T27F7.1,9.7
14.7,F55B12.4,7.0
14.7,ZC250.3,10.4
14.7,C11H1.3,13.3
14.7,"C41G7.1, smn-1",10.8
14.7,Y77E11A.7,11.1
14.7,"DY3.2, lmn-1",13.0
14.7,"M04B2.1, mep-1",13.5
14.7,"F40G9.11, mxl-2",13.6
14.7,"T01G9.4, npp-2",13.0
14.7,"F20H11.2, nsh-1",10.7
14.7,"T27C4.4, egr-1",11.1
14.7,C01F1.1,10.5
14.7,C07A9.2,10.8
14.7,"ZC518.3, ccr-4",11.2
14.7,"K12D12.2, npp-3",12.6
14.7,"K12D12.3, col-84",12.6
14.7,F37C4.4,14.3
14.7,C27F2.5,8.4
14.7,B0395.2,12.4
14.7,Y47G6A.18,13.7
14.7,"ZK593.7, lsm-7",11.1
14.7,"F17C11.8, tag-318",10.7
14.7,T22B11.2,13.1
14.7,"F32A5.1, ada-2",11.5
14.7,"F32A5.7, lsm-4",11.5
14.7,"Y65B4BR.4, wwp-1",13.3
14.7,"T10F2.3, ulp-1",10.0
14.7,"T23F2.1, tag-249",6.1
14.7,"Y80D3A.5, cyp-42A1",6.0
14.7,F33H2.8,9.4
14.7,"C03D6.3, cel-1",6.0
14.7,"H04M03.4, glf-1",7.5
14.7,T19B10.2,9.7
14.7,W04G3.2,12.4
14.7,C06A5.1,9.0
14.7,C26B9.3,12.9
14.7,"F19B6.2, ufd-1",5.3
14.7,C33H5.18,6.7
14.7,"Y66H1B.4, spl-1",11.4
14.7,"F28B12.3, vrk-1",9.4
14.7,"W03C9.3, rab-7",10.0
14.7,CD4.4,9.7
14.7,C40H5.6,8.4
14.7,T27F7.1,9.7
14.7,F55B12.4,7.0
14.7,ZC250.3,10.4
14.7,C11H1.3,13.3
14.7,"C41G7.1, smn-1",10.8
14.7,Y77E11A.7,11.1
14.7,"DY3.2, lmn-1",13.0
14.7,"M04B2.1, mep-1",13.5
14.7,"F40G9.11, mxl-2",13.6
14.7,"T01G9.4, npp-2",13.0
14.7,"F20H11.2, nsh-1",10.7
14.7,"T27C4.4, egr-1",11.1
14.7,C01F1.1,10.5
14.7,C07A9.2,10.8
14.7,"ZC518.3, ccr-4",11.2
14.7,"K12D12.2, npp-3",12.6
14.7,"K12D12.3, col-84",12.6
14.7,F37C4.4,14.3
14.7,C27F2.5,8.4
14.7,B0395.2,12.4
14.7,Y47G6A.18,13.7
14.7,"ZK593.7, lsm-7",11.1
14.7,"F17C11.8, tag-318",10.7
14.7,T22B11.2,13.1
14.7,"F32A5.1, ada-2",11.5
14.7,"F32A5.7, lsm-4",11.5
14.7,"Y65B4BR.4, wwp-1",13.3
14.7,"T10F2.3, ulp-1",10.0
14.8,asm-3,17.1
16.2,asm-3,18.7
19.4,asm-3,21.2
14.4,asm-3,16.7
15.7,asm-3,18.1
22.7,sod-3,21.5
22.7,sod-2,22.5
22.7,sod-2,22.5
22.7,sod-4,21.9
13.37,akt-1,18.62
13.37,akt-1,18.62
13.37,daf-16,8.78
13.37,daf-16,8.78
20.0,hif-1,24.1
20.0,hif-1,24.1
20.0,hif-1,24.1
20.0,hif-1,24.1
17.7,sod-2,27.2
17.7,sod-3,17.1
17.7,sod-4,19.1
17.7,sod-5,16.4
17.7,sod-3,17.1
17.7,sod-4,19.1
17.7,sod-5,16.4
17.7,sod-5,16.4
17.7,sod-1,17.3
17.7,sod-1,17.3
17.7,sod-2,27.2
17.7,sod-2,27.2
17.7,sod-2,27.2
17.7,sod-2,27.2
17.7,sod-2,27.2
17.7,sod-2,27.2
13.6,daf-16,10.5
13.6,daf-2,29.0
13.6,unc-24;daf-15,16.6
14.0,rsks-1,17.1
14.0,rsks-1,17.1
14.6,eat-2,18.2
