Wild Lifespan,Gene(s),Mutant Lifespan
15.0,eak-7,17.8
15.0,eak-7,17.8
15.0,akt-1,21.3
15.0,akt-1,21.3
14.0,eak-7,17.2
13.2,eak-7,18.1
14.6,eak-7,20.8
18.6,eak-7,20.6
15.3,eak-7,20.1
16.5,eak-7,21.0
14.7,eak-7,17.5
14.9,eak-7,17.2
20.0,daf-2,24.2
20.0,daf-2,36.7
20.0,daf-2,43.2
20.0,daf-16,17.1
19.4,daf-2,32.6
20.0,daf-16,14.0
20.0,daf-16,14.0
20.0,sir-2.1,16.0
20.0,sir-2.1,16.0
20.0,sir-2.1,16.0
20.0,daf-2,41.0
20.0,daf-2,41.0
20.0,daf-2,41.0
20.0,sir-2.1,30.0
20.0,sir-2.1,30.0
20.0,sir-2.1,30.0
14.6,daf-2,28.5
14.6,daf-2,28.5
14.6,daf-2,28.5
14.6,daf-2,28.5
14.6,daf-2,28.5
14.6,daf-2,28.5
14.6,daf-2,28.5
14.6,daf-2,30.7
14.6,daf-2,30.7
14.6,daf-2,30.7
14.6,daf-2,30.7
14.6,daf-2,30.7
14.6,daf-2,30.7
14.6,daf-2,30.7
14.6,daf-2,30.7
13.3,daf-2,33.9
13.3,daf-2,33.9
13.3,daf-2,33.9
13.3,daf-2,33.9
13.3,daf-2,33.9
13.3,daf-2,33.9
13.3,daf-2,33.9
13.3,daf-2,33.9
16.1,daf-2,24.1
16.1,daf-2,24.1
15.5,daf-2,29.6
15.5,daf-2,29.6
18.1,daf-2,30.3
14.2,elt-3,12.6
12.5,eat-2,16.4
12.3,eat-2,14.3
15.5,daf-2,23.5
15.5,daf-2,23.5
14.0,daf-2,34.8
14.0,daf-2,34.8
17.2,eat-2,28.3
18.7,wwp-1,23.1
18.7,wwp-1,21.1
18.7,wwp-1,21.5
18.1,wwp-1,22.5
19.4,wwp-1,21.5
18.4,isp-1,26.2
18.8,eat-2,23.4
18.8,eat-2,23.4
21.7,eat-2,28.2
21.7,eat-2,28.2
21.7,isp-1,32.4
18.7,wwp-1,23.1
18.6,wwp-1,21.1
18.74,daf-2,46.39
16.87,daf-2,47.3
16.36,daf-16,13.86
16.36,daf-16,13.86
17.04,daf-16,13.26
16.87,daf-3,15.93
18.99,daf-3,17.42
18.99,daf-5,14.71
18.99,daf-5,16.75
18.99,daf-2;daf-3,49.86
18.99,daf-2;daf-3,50.88
16.24,eat-2,28.94
19.02,eat-2,26.8
19.02,eat-2,24.16
16.24,eat-2,22.98
16.65,eat-2,28.76
16.24,eat-2,25.44
19.02,mev-1,14.36
16.24,mev-1,17.76
19.02,gas-1,19.27
16.56,gas-1,14.94
16.56,clk-1,33.04
16.41,clk-1,24.98
16.56,skn-1,17.86
18.21,skn-1,18.25
17.48,nhr-49,16.22
17.49,nhr-49,20.35
17.48,nhr-8,17.53
17.49,nhr-8,19.2
17.48,aha-1,16.69
17.49,aha-1,15.93
17.48,ahr-1,16.16
17.49,ahr-1,18.14
17.48,ahr-1,18.43
17.49,ahr-1,17.1
17.48,pgp-3,17.16
17.49,pgp-3,19.77
17.48,pgp-3,17.56
17.49,pgp-3,16.93
19.69,hsf-1,17.85
18.25,hsf-1,19.11
17.48,eat-2,24.38
18.28,eat-2,24.4
18.37,eat-2,24.4
17.59,eat-2,24.62
19.02,rde-1,20.01
16.24,rde-1,16.58
16.56,rde-1,20.01
16.24,rde-1,16.58
19.6,rde-1,20.01
18.28,rde-1,16.58
20.91,nhr-49,12.91
19.6,nhr-49,13.45
20.91,daf-22,20.34
19.6,daf-22,18.23
12.76,daf-2,35.2
11.91,daf-2,31.74
18.76,daf-2,28.34
18.74,daf-2,30.25
20.34,glp-1,24.83
20.49,glp-1,24.67
25.1,sgk-1,28.5
25.1,akt-1,30.0
20.7,sgk-1,21.5
