Gene(s),Wild Lifespan,Mutant Lifespan,Percent Change
eat-2,15.37,17.02,10.735
glp-1,13.71,16.36,19.329
nsy-1,17.27,14.96,-13.376
nsy-1,17.27,17.36,0.521
pmk-1,17.27,16.96,-1.795
pmk-3,17.27,16.52,-4.343
sek-1,17.27,17.74,2.721
tir-1,17.27,17.73,2.664
unc-43,17.27,16.31,-5.559
flr-4,21.5,30.16,40.279
flr-4,18.97,32.12,69.32
nhr-8,18.81,13.97,-25.731
daf-2,19.13,41.36,116.205
daf-16,19.55,15.18,-22.353
flr-4,19.25,28.21,46.545
flr-4,19.61,25.63,30.699
flr-4,17.14,21.87,27.596
gld-1,13.0,15.7,20.769
glp-1,14.05,18.65,32.74
glp-4,14.05,16.35,16.37
vhl-1,22.8,30.0,31.579
eat-2,20.8,25.06,20.481
vhl-1,17.5,26.25,50.0
vhl-1,21.6,29.2,35.185
daf-2,22.0,28.4,29.091
daf-2,28.0,36.0,28.571
daf-18,8.5,6.2,-27.059
daf-18,12.7,5.8,-54.331
age-1,23.2,32.1,38.362
age-1,23.2,32.1,38.362
daf-2,23.2,34.3,47.845
old-1,23.2,28.0,20.69
age-1,13.5,25.5,88.889
daf-16,13.5,8.4,-37.778
vhl-1,18.0,21.8,21.111
vhl-1,18.0,21.8,21.111
ifg-1,19.2,29.8,55.208
rsks-1,19.2,21.0,9.375
rsks-1,19.2,21.0,9.375
pdk-1,17.0,27.0,58.824
sqt-1; age-1,12.0,18.0,50.0
sqt-1; age-1,12.0,18.0,50.0
eat-2,19.5,23.8,22.051
eat-2,19.3,24.4,26.425
eat-2,19.5,23.8,22.051
eat-2,19.3,24.4,26.425
eat-2,19.5,23.8,22.051
eat-2,19.3,24.4,26.425
age-1,17.1,20.3,18.713
age-1,17.3,20.4,17.919
age-1,17.1,20.3,18.713
age-1,17.3,20.4,17.919
age-1,17.1,20.3,18.713
age-1,17.3,20.4,17.919
clk-1,17.2,22.3,29.651
clk-1,16.1,20.1,24.845
npl-7,22.0,18.8,-14.545
npl-7,22.1,18.9,-14.48
npl-7,22.0,18.8,-14.545
npl-7,22.1,18.9,-14.48
npl-7,22.0,19.1,-13.182
npl-7,22.1,19.0,-14.027
npl-7,22.0,19.1,-13.182
npl-7,22.1,19.0,-14.027
cup-4,22.0,18.0,-18.182
cup-4,22.1,17.0,-23.077
cup-4,22.0,18.0,-18.182
cup-4,22.1,17.0,-23.077
oga-1,15.9,20.9,31.447
oga-1,15.9,20.9,31.447
ogt-1,15.9,12.9,-18.868
oga-1,15.9,20.9,31.447
ogt-1,15.9,12.9,-18.868
oga-1,15.9,20.9,31.447
ogt-1,15.9,12.9,-18.868
oga-1,15.9,20.9,31.447
ogt-1,15.9,12.9,-18.868
oga-1,15.9,20.9,31.447
oga-1,15.9,20.9,31.447
glp-1,21.6,31.0,43.519
daf-2,16.9,30.6,81.065
daf-2,22.5,28.8,28.0
daf-2,22.5,24.4,8.444
daf-2,16.9,43.0,154.438
daf-2,22.5,43.8,94.667
daf-2,17.9,40.6,126.816
nhr-49,16.9,11.6,-31.361
glp-1,21.6,31.0,43.519
glp-1,21.6,31.0,43.519
nhr-49,18.5,24.9,34.595
nhr-49,20.3,21.6,6.404
nhr-49,20.3,21.6,6.404
nhr-49,17.0,12.9,-24.118
nhr-49,17.0,12.9,-24.118
nhr-49,17.0,12.9,-24.118
nhr-49,16.9,11.6,-31.361
nhr-49,16.9,11.6,-31.361
nhr-49,16.9,11.6,-31.361
osm-9,22.3,23.0,3.139
osm-9; ocr-2,17.47,26.0,48.827
shc-1,15.4,10.8,-29.87
shc-1,14.4,8.8,-38.889
shc-1,14.2,8.4,-40.845
shc-1,14.3,10.6,-25.874
shc-1,14.2,8.4,-40.845
shc-1,12.0,9.5,-20.833
shc-1,12.7,8.6,-32.283
shc-1,12.7,8.6,-32.283
shc-1,14.5,9.9,-31.724
glp-4,10.0,11.97,19.7
daf-16,22.57,11.14,-50.642
hcf-1,14.3,17.8,24.476
hcf-1,14.3,17.8,24.476
hcf-1,13.9,17.5,25.899
hcf-1,13.9,17.5,25.899
hcf-1,14.4,19.7,36.806
hcf-1,14.4,19.7,36.806
hcf-1,14.4,19.7,36.806
hcf-1,14.4,19.7,36.806
hcf-1,14.4,19.7,36.806
hcf-1,14.5,18.0,24.138
hcf-1,14.5,18.0,24.138
hcf-1,14.5,18.0,24.138
hcf-1,14.5,18.0,24.138
hcf-1,14.5,18.0,24.138
hcf-1,14.3,18.2,27.273
hcf-1,14.3,18.2,27.273
hcf-1,14.3,18.2,27.273
hcf-1,14.3,18.2,27.273
hcf-1,14.3,18.2,27.273
hcf-1,15.4,18.4,19.481
hcf-1,15.4,18.4,19.481
hcf-1,15.4,18.4,19.481
hcf-1,15.4,18.4,19.481
hcf-1,15.4,18.4,19.481
hcf-1,15.1,18.9,25.166
hcf-1,15.1,18.9,25.166
hcf-1,15.1,18.9,25.166
hcf-1,15.1,18.9,25.166
hcf-1,15.1,18.9,25.166
hcf-1,15.0,18.9,26.0
hcf-1,15.0,18.9,26.0
hcf-1,15.0,18.9,26.0
hcf-1,15.0,18.9,26.0
hcf-1,15.0,18.9,26.0
hcf-1,15.1,19.4,28.477
hcf-1,15.1,19.4,28.477
hcf-1,15.1,19.4,28.477
hcf-1,15.1,19.4,28.477
hcf-1,15.1,19.4,28.477
hcf-1,18.6,22.5,20.968
hcf-1,18.6,22.5,20.968
hcf-1,18.6,22.5,20.968
hcf-1,18.6,25.0,34.409
hcf-1,18.6,25.0,34.409
hcf-1,18.6,25.0,34.409
hcf-1,16.7,18.3,9.581
daf-2,16.7,30.3,81.437
hcf-1,16.8,18.0,7.143
daf-2,16.8,26.1,55.357
hcf-1,16.8,18.1,7.738
daf-2,16.8,28.4,69.048
hcf-1,15.8,22.2,40.506
hcf-1,15.8,22.2,40.506
hcf-1,15.1,19.8,31.126
hcf-1,15.1,19.8,31.126
hcf-1,15.5,21.0,35.484
skn-1,23.08,20.48,-11.265
daf-16,23.39,20.67,-11.629
skn-1,22.93,20.13,-12.211
daf-16,22.93,18.09,-21.108
daf-16; skn-1,22.93,18.65,-18.666
skn-1,23.67,18.96,-19.899
daf-16,23.67,20.61,-12.928
skn-1,23.67,18.96,-19.899
daf-16,23.67,20.61,-12.928
glp-1,22.56,28.54,26.507
glp-1,19.46,26.46,35.971
glp-1,20.98,28.73,36.94
kri-1,23.96,23.13,-3.464
skn-1,22.09,20.67,-6.428
skn-1,23.15,19.37,-16.328
skn-1,23.44,20.28,-13.481
skn-1,22.67,20.76,-8.425
skn-1,23.44,20.28,-13.481
skn-1,23.08,17.71,-23.267
skn-1,24.77,20.11,-18.813
skn-1,23.08,17.71,-23.267
skn-1,24.77,20.11,-18.813
daf-16,22.09,15.57,-29.516
daf-16,23.15,18.63,-19.525
daf-16,23.44,20.0,-14.676
daf-16,23.44,20.0,-14.676
daf-16,23.58,20.49,-13.104
daf-16,23.16,21.7,-6.304
daf-16,23.08,19.15,-17.028
daf-16,22.87,19.7,-13.861
daf-16,24.77,22.09,-10.82
daf-16,23.08,19.15,-17.028
daf-16,22.87,19.7,-13.861
daf-16,24.77,22.09,-10.82
daf-16; skn-1,22.09,18.27,-17.293
daf-16; skn-1,23.15,19.05,-17.711
daf-16; skn-1,22.93,20.09,-12.386
daf-16; skn-1,22.17,20.5,-7.533
daf-16; skn-1,22.93,20.09,-12.386
daf-16; skn-1,22.17,20.5,-7.533
rde-1,21.56,23.72,10.019
glp-1,19.46,26.46,35.971
glp-1,21.36,29.35,37.406
glp-1,21.83,30.2,38.342
glp-1,21.83,30.2,38.342
glp-1,22.26,27.29,22.597
glp-1,23.78,27.93,17.452
kri-1,23.95,22.43,-6.347
kri-1,23.96,23.74,-0.918
kri-1,23.95,22.43,-6.347
kri-1,23.96,23.74,-0.918
aak-2,17.2,12.6,-26.744
aak-2,17.2,17.9,4.07
aak-1,17.2,16.5,-4.07
aak-1; aak-2,17.2,14.6,-15.116
par-4,17.2,16.6,-3.488
sad-1,16.4,15.8,-3.659
kin-29,16.4,12.1,-26.22
mml-1,16.4,15.2,-7.317
frh-1,18.4,23.1,25.543
bec-1,18.4,9.9,-46.196
aak-2,17.2,15.4,-10.465
aak-2,17.2,15.4,-10.465
aak-2,17.2,15.4,-10.465
aak-2,17.2,15.4,-10.465
aak-2,17.2,12.4,-27.907
aak-2,17.2,12.4,-27.907
aak-2,17.2,12.4,-27.907
aak-2,17.2,12.4,-27.907
par-4,17.2,16.8,-2.326
par-4,17.2,16.8,-2.326
par-4,17.2,16.8,-2.326
par-4,17.2,16.8,-2.326
sad-1,17.2,18.6,8.14
sad-1,17.2,18.6,8.14
sad-1,17.2,18.6,8.14
sad-1,17.2,18.6,8.14
kin-29,17.2,13.0,-24.419
kin-29,17.2,13.0,-24.419
kin-29,17.2,13.0,-24.419
kin-29,17.2,13.0,-24.419
mml-1,17.2,14.2,-17.442
mml-1,17.2,14.2,-17.442
mml-1,17.2,14.2,-17.442
mml-1,17.2,14.2,-17.442
glp-1,18.5,27.21,47.081
glp-1,19.81,26.19,32.206
daf-2,18.48,37.39,102.327
aak-2,20.62,16.72,-18.914
daf-2,15.1,38.2,152.98
daf-2,15.1,38.2,152.98
daf-2,16.1,40.0,148.447
daf-2,16.1,40.0,148.447
rsks-1,19.9,23.3,17.085
hsf-1,19.4,14.3,-26.289
hsf-1,20.2,14.7,-27.228
rsks-1,16.9,20.2,19.527
rsks-1,18.2,22.3,22.527
rsks-1,19.4,22.4,15.464
rsks-1,20.2,25.2,24.752
rsks-1,17.7,22.0,24.294
rsks-1,17.8,18.0,1.124
rsks-1,17.8,21.4,20.225
rsks-1,16.2,18.5,14.198
hsf-1,18.6,12.8,-31.183
hsf-1,18.7,12.2,-34.759
hsf-1,18.6,12.8,-31.183
hsf-1,18.7,12.2,-34.759
hsf-1,18.4,11.6,-36.957
hsf-1,17.7,13.2,-25.424
hsf-1,18.4,11.6,-36.957
hsf-1,17.7,13.2,-25.424
rsks-1,17.8,21.4,20.225
rsks-1,16.2,18.5,14.198
rsks-1,17.8,21.4,20.225
rsks-1,16.2,18.5,14.198
rsks-1,16.9,20.2,19.527
rsks-1,18.2,22.3,22.527
rsks-1,19.9,23.3,17.085
rsks-1,20.3,22.3,9.852
rsks-1,17.8,21.4,20.225
rsks-1,16.2,18.5,14.198
daf-2,16.5,29.51,78.848
pmq-1,16.5,15.36,-6.909
pmq-1,16.5,15.36,-6.909
pmq-1,11.97,13.84,15.622
daf-9,19.89,18.63,-6.335
aak-2,19.89,23.78,19.558
nhr-8,19.89,13.72,-31.021
eat-2,17.08,21.5,25.878
skn-1,22.64,20.29,-10.38
skn-1,22.3,21.02,-5.74
eif-1,22.43,28.16,25.546
eif-1A,22.28,26.84,20.467
daf-16,22.51,19.74,-12.306
daf-16,23.55,21.07,-10.531
daf-16;skn-1,23.55,16.91,-28.195
daf-16,22.62,18.88,-16.534
daf-16;skn-1,22.62,16.16,-28.559
ets-4,10.0,11.6,16.0
ets-4,13.3,16.7,25.564
ets-4,12.2,16.3,33.607
ets-4,12.9,16.7,29.457
daf-2,20.0,38.33,91.65
isp-1,15.82,24.84,57.016
daf-2,11.5,29.4,155.652
aakb-1,14.3,12.6,-11.888
aakb-1,14.2,12.5,-11.972
aakb-1,13.5,13.1,-2.963
aakb-1,14.4,12.6,-12.5
aakb-1,15.1,12.5,-17.219
daf-2,11.1,29.5,165.766
daf-2,11.8,28.9,144.915
daf-2,11.7,29.9,155.556
daf-2,11.3,29.0,156.637
aakg-4,9.7,10.8,11.34
daf-2,9.7,21.5,121.649
daf-2,9.7,21.5,121.649
daf-2,9.9,23.8,140.404
daf-2,9.9,23.8,140.404
aakg-4,9.9,10.4,5.051
daf-2,9.9,23.8,140.404
daf-2;aakg-4,9.9,18.2,83.838
ceh-23,20.49,20.91,2.05
ceh-23,20.49,20.91,2.05
ceh-23,20.49,20.91,2.05
ceh-23,17.78,17.98,1.125
ceh-23,17.78,17.98,1.125
ceh-23,17.78,17.98,1.125
ceh-23,17.78,17.98,1.125
ceh-23,17.78,17.98,1.125
ceh-23,17.78,17.98,1.125
ceh-23,19.28,20.16,4.564
ceh-23,19.28,20.16,4.564
ceh-23,19.28,20.16,4.564
ceh-23,17.49,18.12,3.602
ceh-23,17.49,18.12,3.602
ceh-23,17.49,18.12,3.602
ceh-23,17.09,16.13,-5.617
ceh-23,17.09,16.13,-5.617
ceh-23,17.09,16.13,-5.617
ceh-23,17.79,19.16,7.701
ceh-23,17.79,19.16,7.701
ceh-23,17.79,19.16,7.701
ceh-23,17.79,19.16,7.701
ceh-23,17.79,19.16,7.701
ceh-23,18.72,18.57,-0.801
ceh-23,18.72,18.57,-0.801
ceh-23,18.72,18.57,-0.801
ceh-23,18.72,18.57,-0.801
ceh-23,18.72,18.57,-0.801
ceh-23,16.76,19.7,17.542
ceh-23,16.76,19.7,17.542
ceh-23,15.61,15.4,-1.345
ceh-23,15.61,15.4,-1.345
akt-1,13.0,15.0,15.385
akt-1,13.0,15.0,15.385
akt-1,13.0,15.0,15.385
akt-1,13.0,15.0,15.385
hif-1,18.04,21.03,16.574
hif-1,16.88,19.53,15.699
hif-1,18.67,21.61,15.747
hif-1,20.13,21.85,8.544
hif-1,17.99,20.8,15.62
hif-1,22.46,23.03,2.538
hif-1,24.45,24.2,-1.022
hif-1,22.39,20.92,-6.565
hif-1,21.19,25.16,18.735
hif-1,26.0,21.56,-17.077
hif-1,22.67,21.89,-3.441
hif-1,23.32,22.82,-2.144
hif-1,31.07,33.32,7.242
hif-1,34.48,34.9,1.218
hif-1,28.69,28.47,-0.767
hif-1,33.28,31.56,-5.168
hif-1,31.98,31.95,-0.094
hif-1,18.04,21.03,16.574
hif-1,18.65,20.76,11.314
hif-1,20.13,21.85,8.544
hif-1,18.73,21.18,13.081
hif-1,20.64,24.59,19.138
hif-1,21.19,25.16,18.735
hif-1,26.0,21.56,-17.077
hif-1,22.67,21.89,-3.441
hif-1,22.87,22.27,-2.624
hif-1,31.07,33.32,7.242
hif-1,34.48,34.9,1.218
hif-1,28.69,28.47,-0.767
hif-1,33.28,31.56,-5.168
hif-1,31.98,31.95,-0.094
daf-2,15.2,48.6,219.737
daf-2,15.2,48.6,219.737
daf-2,15.2,48.6,219.737
daf-2,15.2,48.6,219.737
daf-16,13.1,10.8,-17.557
hcf-1,13.6,16.3,19.853
daf-2,13.9,30.3,117.986
hcf-1,14.5,16.0,10.345
hcf-1,14.5,16.0,10.345
daf-16,14.7,9.2,-37.415
daf-2,14.7,28.7,95.238
age-1,13.4,20.0,49.254
glp-1,13.6,18.0,32.353
atm-1,16.66,21.33,28.031
egl-1,17.33,14.33,-17.311
atm-1,17.0,20.5,20.588
skn-1,15.0,11.0,-26.667
daf-16,13.75,11.5,-16.364
cep-1,15.0,17.66,17.733
skn-1,15.9,12.3,-22.642
cep-1,15.9,17.6,10.692
cep-1,15.9,17.6,10.692
cep-1,15.9,17.6,10.692
cep-1,17.0,19.1,12.353
atm-1,16.3,19.5,19.632
atm-1,16.3,19.5,19.632
egl-1,16.3,14.6,-10.429
egl-1,16.3,14.6,-10.429
mxl-3,20.0,28.0,40.0
daf-2,17.1,46.9,174.269
unc-64,16.2,40.3,148.765
unc-13,17.6,35.7,102.841
unc-13,17.6,38.9,121.023
unc-13,17.6,35.7,102.841
unc-13,17.6,38.9,121.023
unc-13; daf-16,17.6,21.6,22.727
unc-13;daf-16,17.6,23.9,35.795
eat-2,16.2,22.6,39.506
eat-2,18.2,21.2,16.484
fer-15;fem-1,17.5,21.3,21.714
fer-15;fem-1,22.9,21.2,-7.424
fer-15;fem-1,22.9,21.5,-6.114
fer-15;fem-1,22.9,19.2,-16.157
eat-2,17.5,23.7,35.429
eat-2,17.5,31.1,77.714
eat-2,22.9,28.7,25.328
eat-2,19.7,22.4,13.706
eat-2,19.5,27.6,41.538
eat-2,24.5,27.6,12.653
eat-2,24.5,27.6,12.653
eat-2,24.5,22.4,-8.571
eat-2,24.5,22.4,-8.571
eat-2;rrf-3,19.8,19.3,-2.525
daf-15;unc-24,21.4,23.5,9.813
daf-15;unc-24,21.4,23.5,9.813
daf-15;unc-24,19.9,21.8,9.548
daf-15;unc-24,20.6,22.6,9.709
daf-15;unc-24,21.4,25.1,17.29
daf-15;unc-24,20.6,22.6,9.709
rab-10,22.9,27.9,21.834
rab-10,22.9,27.9,21.834
rab-10,17.5,30.7,75.429
rab-10,17.5,30.7,75.429
daf-2;fer-15;fem-1,17.5,28.4,62.286
daf-2;fer-15;fem-1,19.7,31.0,57.36
daf-2;fer-15;fem-1,19.5,34.1,74.872
daf-2;fer-15;fem-1,19.8,32.7,65.152
daf-2;rsks-1,14.6,50.51,245.959
daf-2;rsks-1,19.02,46.29,143.375
daf-2;rsks-1,21.1,42.86,103.128
daf-2;rsks-1,22.98,49.6,115.84
aak-2,20.0,21.71,8.55
aak-2,18.63,21.53,15.566
aak-2,20.0,23.19,15.95
tax-6,17.33,20.0,15.407
tax-6,16.8,14.9,-11.31
daf-2,21.5,35.0,62.791
daf-2,11.81,41.81,254.022
daf-2,20.52,33.68,64.133
daf-2,21.33,35.33,65.635
daf-2,21.57,35.26,63.468
daf-2,21.87,32.5,48.605
daf-2,21.66,35.55,64.127
glp-1,19.0,23.9,25.789
mes-1,18.9,18.2,-3.704
mes-1,18.9,24.2,28.042
daf-12,19.9,17.6,-11.558
daf-9,19.9,18.5,-7.035
daf-16,19.4,17.2,-11.34
skn-1,19.4,16.1,-17.01
kri-1,19.4,19.0,-2.062
daf-2,19.3,52.3,170.984
glp-1,19.1,23.0,20.419
rrf-1,19.1,19.4,1.571
daf-16,18.8,16.8,-10.638
daf-16,19.3,16.3,-15.544
kri-1,19.4,19.0,-2.062
skn-1,19.5,16.3,-16.41
daf-16,18.3,15.9,-13.115
daf-16,19.3,17.9,-7.254
glp-1,18.0,22.9,27.222
glp-1,19.5,26.2,34.359
glp-1,18.9,23.4,23.81
glp-1,18.9,23.4,23.81
glp-1,19.3,22.6,17.098
glp-1,19.3,22.6,17.098
mes-1,19.3,18.4,-4.663
mes-1,19.3,24.5,26.943
mes-1,18.5,18.1,-2.162
mes-1,18.5,23.9,29.189
daf-12,20.4,18.0,-11.765
daf-9,20.4,18.3,-10.294
daf-12,19.3,17.2,-10.881
daf-9,19.3,18.8,-2.591
daf-16,20.1,17.5,-12.935
skn-1,20.1,16.0,-20.398
daf-16,18.8,17.0,-9.574
skn-1,18.8,16.4,-12.766
kri-1,20.1,19.7,-1.99
kri-1,20.1,19.7,-1.99
kri-1,18.8,18.1,-3.723
kri-1,18.8,18.1,-3.723
daf-2,19.0,52.3,175.263
daf-2,19.6,52.3,166.837
rrf-1,19.0,19.1,0.526
rrf-1,19.1,19.8,3.665
daf-16,19.5,17.0,-12.821
daf-16,19.4,16.7,-13.918
daf-16,18.9,14.6,-22.751
skn-1,18.6,14.6,-21.505
skn-1,20.4,18.0,-11.765
daf-2,20.3,33.9,66.995
daf-2,20.3,33.9,66.995
daf-2,20.3,33.9,66.995
daf-2,20.3,33.9,66.995
daf-2,20.3,33.9,66.995
daf-2,20.3,33.9,66.995
daf-2,20.3,33.9,66.995
daf-2,20.3,33.9,66.995
daf-2,20.3,33.9,66.995
daf-2,20.3,33.9,66.995
daf-2,20.3,33.9,66.995
daf-2,20.3,33.9,66.995
daf-2,20.3,33.9,66.995
daf-2,20.3,33.9,66.995
daf-2,20.3,33.9,66.995
daf-2,20.3,33.9,66.995
daf-2,20.3,33.9,66.995
daf-2,20.3,33.9,66.995
daf-2,20.3,33.9,66.995
daf-2,20.3,33.9,66.995
daf-2,20.3,33.9,66.995
daf-2,20.3,33.9,66.995
daf-2,20.3,33.9,66.995
daf-16;daf-2,20.3,11.9,-41.379
daf-16;daf-2,20.3,11.9,-41.379
daf-16;daf-2,20.3,11.9,-41.379
daf-16;daf-2,20.3,11.9,-41.379
daf-16;daf-2,20.3,11.9,-41.379
daf-16;daf-2,20.3,11.9,-41.379
daf-16;daf-2,20.3,11.9,-41.379
daf-16;daf-2,20.3,11.9,-41.379
daf-16;daf-2,20.3,11.9,-41.379
daf-16;daf-2,20.3,11.9,-41.379
daf-16;daf-2,20.3,11.9,-41.379
daf-16;daf-2,20.3,11.9,-41.379
daf-16;daf-2,20.3,11.9,-41.379
daf-16;daf-2,20.3,11.9,-41.379
daf-16;daf-2,20.3,11.9,-41.379
daf-16;daf-2,20.3,11.9,-41.379
daf-16;daf-2,20.3,11.9,-41.379
daf-16;daf-2,20.3,11.9,-41.379
daf-16;daf-2,20.3,11.9,-41.379
daf-16;daf-2,20.3,11.9,-41.379
daf-16;daf-2,20.3,11.9,-41.379
daf-16;daf-2,20.3,11.9,-41.379
daf-16;daf-2,20.3,11.9,-41.379
eat-2,20.3,22.9,12.808
eat-2,20.3,22.9,12.808
eat-2,20.3,22.9,12.808
eat-2,20.3,22.9,12.808
eat-2,20.3,22.9,12.808
eat-2,20.3,22.9,12.808
eat-2,20.3,22.9,12.808
eat-2,20.3,22.9,12.808
eat-2,20.3,22.9,12.808
eat-2,20.3,22.9,12.808
eat-2,20.3,22.9,12.808
eat-2,20.3,22.9,12.808
eat-2,20.3,22.9,12.808
eat-2,20.3,22.9,12.808
eat-2,20.3,22.9,12.808
eat-2,20.3,22.9,12.808
eat-2,20.3,22.9,12.808
eat-2,20.3,22.9,12.808
eat-2,20.3,22.9,12.808
eat-2,20.3,22.9,12.808
eat-2,20.3,22.9,12.808
eat-2,20.3,22.9,12.808
eat-2,20.3,22.9,12.808
clk-1,15.9,17.1,7.547
clk-1,32.6,34.6,6.135
nuo-6,20.8,33.9,62.981
isp-1,20.8,32.9,58.173
eat-2,20.8,29.4,41.346
nuo-6,21.6,32.1,48.611
isp-1,21.6,32.9,52.315
eat-2,21.6,27.6,27.778
daf-2,14.66,25.33,72.783
daf-2,17.93,36.55,103.848
daf-2,17.93,35.17,96.152
daf-2,18.62,37.24,100.0
daf-2,17.24,27.93,62.007
daf-2,17.93,34.48,92.303
daf-2,20.68,40.0,93.424
daf-2,17.93,35.17,96.152
daf-2,15.86,31.03,95.649
daf-2,18.5,45.9,148.108
daf-2,18.5,44.1,138.378
isp-1,22.5,35.0,55.556
daf-2,19.6,36.3,85.204
isp-1,19.6,33.0,68.367
daf-16,19.6,17.0,-13.265
clk-1,14.9,18.4,23.49
clk-1,14.9,19.8,32.886
clk-3,14.9,20.4,36.913
clk-3,14.9,20.4,36.913
clk-3,14.9,20.4,36.913
gro-1,14.9,19.2,28.859
clk-3,14.9,20.4,36.913
age-1;fer-15,14.9,26.3,76.51
clk-1,16.1,17.3,7.453
clk-1,16.1,19.3,19.876
clk-3,16.1,19.9,23.602
clk-3,16.1,19.9,23.602
clk-3,16.1,19.9,23.602
clk-3,16.1,19.9,23.602
clk-1,22.0,29.3,33.182
clk-1,22.0,31.0,40.909
daf-16,14.9,15.1,1.342
daf-16,14.9,15.1,1.342
daf-16,14.9,15.1,1.342
daf-2,14.9,29.7,99.329
daf-2,8.5,15.9,87.059
rsks-1,18.9,22.4,18.519
rsks-1,20.0,21.9,9.5
daf-2,18.9,41.1,117.46
daf-2,20.0,42.2,111.0
daf-2;rsks-1,18.9,68.1,260.317
daf-2;rsks-1,20.0,67.2,236.0
atfs-1,18.9,19.1,1.058
atfs-1,20.0,19.7,-1.5
aak-2,18.9,15.9,-15.873
aak-2,20.0,16.0,-20.0
drp-1,19.5,21.3,9.231
drp-1,18.7,21.4,14.439
drp-1,19.1,18.1,-5.236
daf-2;rsks-1,20.4,55.7,173.039
daf-2;rsks-1,19.8,49.9,152.02
daf-2;rsks-1,19.7,51.7,162.437
daf-2;rsks-1,20.4,55.7,173.039
daf-2;rsks-1,19.8,49.9,152.02
daf-2;rsks-1,19.7,51.7,162.437
daf-2;rsks-1,20.4,55.7,173.039
daf-2;rsks-1,19.8,49.9,152.02
daf-2;rsks-1,19.7,51.7,162.437
rsks-1,18.0,21.2,17.778
rsks-1,18.2,21.2,16.484
daf-2,18.0,46.1,156.111
daf-2,18.2,43.3,137.912
daf-2;rsks-1,18.0,65.2,262.222
daf-2;rsks-1,18.2,59.1,224.725
atfs-1,19.09,19.09,0.0
daf-2,12.07,21.11,74.896
daf-2,12.07,21.11,74.896
daf-2,12.07,21.11,74.896
daf-2,12.07,21.11,74.896
daf-2,12.07,21.11,74.896
daf-2,12.07,21.11,74.896
daf-2,12.07,21.11,74.896
daf-2,12.07,21.11,74.896
daf-2,12.07,27.48,127.672
daf-2,12.07,27.48,127.672
daf-2,12.07,27.48,127.672
daf-2,12.07,27.48,127.672
daf-2,12.07,27.48,127.672
daf-2,12.07,27.48,127.672
daf-2,12.07,27.48,127.672
daf-2,12.07,28.44,135.626
daf-2,12.07,28.44,135.626
daf-2,12.07,28.44,135.626
daf-2,12.07,28.44,135.626
daf-2,12.07,28.44,135.626
daf-2,12.07,28.44,135.626
daf-2,12.07,28.44,135.626
ins-6,13.0,14.5,11.538
daf-2,20.3,33.9,66.995
daf-2,14.7,36.7,149.66
daf-2,14.7,36.7,149.66
daf-2;daf-16,14.7,10.1,-31.293
eat-2,18.81,21.98,16.853
eat-2,19.26,23.84,23.78
aak-2,19.89,23.78,19.558
daf-9,19.89,18.63,-6.335
eat-2,19.31,25.38,31.434
eat-2,17.31,27.18,57.019
nhr-8,19.89,13.72,-31.021
daf-7,19.89,19.97,0.402
daf-2,19.7,39.1,98.477
daf-2,18.9,45.8,142.328
daf-2,19.7,39.1,98.477
daf-2,18.9,45.8,142.328
daf-2; rsks-1,19.7,47.0,138.579
daf-2; rsks-1,18.9,49.4,161.376
rsks-1,19.7,21.0,6.599
rsks-1,18.9,20.1,6.349
daf-16,18.9,13.9,-26.455
daf-16,18.9,13.9,-26.455
daf-2,18.9,31.3,65.608
daf-2,18.9,31.3,65.608
daf-2,18.9,28.6,51.323
daf-2,18.9,28.6,51.323
pdk-1,18.9,21.5,13.757
pdk-1,18.9,21.5,13.757
pdk-1,18.9,19.1,1.058
pdk-1,18.9,19.1,1.058
daf-16,19.0,13.0,-31.579
daf-16,19.0,13.0,-31.579
daf-2,19.0,28.6,50.526
daf-2,19.0,28.6,50.526
daf-2,19.0,26.1,37.368
daf-2,19.0,26.1,37.368
cep-1,22.56,21.2,-6.028
cep-1,21.24,20.78,-2.166
cep-1,22.44,21.36,-4.813
cep-1,22.44,21.36,-4.813
cep-1,21.89,19.81,-9.502
cep-1,21.89,19.81,-9.502
cep-1,22.56,21.2,-6.028
cep-1,22.56,21.2,-6.028
cep-1,22.56,21.2,-6.028
cep-1,22.56,21.2,-6.028
cep-1,21.4,20.78,-2.897
cep-1,21.4,20.78,-2.897
cep-1,21.4,20.78,-2.897
cep-1,19.7,19.75,0.254
gas-1,19.42,13.97,-28.064
gas-1,19.42,13.97,-28.064
cep-1,13.87,14.3,3.1
cep-1,13.87,14.3,3.1
cep-1,17.15,18.56,8.222
isp-1,17.15,27.46,60.117
cep-1;isp-1,17.15,22.55,31.487
mev-1,17.15,13.73,-19.942
cep-1,17.15,18.56,8.222
cep-1;mev-1,17.15,15.78,-7.988
cep-1,19.23,19.52,1.508
isp-1,19.23,28.25,46.906
cep-1;isp-1,19.23,21.08,9.62
mev-1,19.23,12.99,-32.449
cep-1,19.23,19.52,1.508
cep-1;mev-1,19.23,16.1,-16.277
gas-1,22.41,15.28,-31.816
mev-1,22.41,13.11,-41.499
nuo-6,22.41,25.36,13.164
isp-1,22.41,24.4,8.88
nuo-6,17.0,22.85,34.412
daf-16,18.0,16.9,-6.111
sod-1,21.8,32.6,49.541
sod-1,21.8,32.6,49.541
sod-1,19.7,25.4,28.934
sod-1,19.7,25.4,28.934
daf-16,19.2,12.5,-34.896
