Gene(s),Wild Lifespan,Mutant Lifespan,Percent Change
sgk-1,16.33,20.68,26.638
sgk-1,16.16,21.4,32.426
rrf-1,16.33,17.05,4.409
glp-1,16.33,14.69,-10.043
glp-1,16.16,14.72,-8.911
glp-1,16.24,14.71,-9.421
rrf-1,10.95,12.15,10.959
rrf-1,10.95,12.3,12.329
rrf-1,10.95,11.91,8.767
rrf-1,10.95,12.15,10.959
rrf-1,10.95,12.3,12.329
rrf-1,10.95,11.91,8.767
rrf-1,10.95,12.15,10.959
rrf-1,10.95,12.3,12.329
rrf-1,10.95,11.91,8.767
daf-2,18.5,26.5,43.243
daf-2,18.5,26.5,43.243
daf-2,18.5,26.5,43.243
daf-2,26.5,38.0,43.396
daf-2,22.1,37.4,69.231
daf-2,21.5,34.3,59.535
daf-2,29.2,43.6,49.315
daf-2,24.9,33.4,34.137
daf-2,26.6,36.7,37.97
daf-2,26.7,35.6,33.333
daf-2,22.3,35.1,57.399
daf-2,22.3,35.1,57.399
daf-2,19.8,30.5,54.04
daf-2,25.7,41.8,62.646
daf-2,23.7,38.0,60.338
daf-2,22.1,26.9,21.719
daf-2,27.0,35.8,32.593
daf-2,23.9,32.1,34.31
daf-2,25.4,39.1,53.937
daf-2,23.6,34.8,47.458
daf-16;daf-2,23.3,17.0,-27.039
daf-2,23.3,41.7,78.97
daf-2,24.5,47.8,95.102
daf-2,24.5,32.9,34.286
daf-2;skn-1,24.5,19.9,-18.776
daf-2,22.9,38.9,69.869
daf-2,22.9,33.4,45.852
daf-2;skn-1,22.9,21.6,-5.677
fat-5,11.5,13.9,20.87
eak-7,14.1,18.1,28.369
eak-7,14.7,19.4,31.973
eak-7,14.7,19.4,31.973
eak-7,14.7,18.0,22.449
eak-7,14.7,18.0,22.449
eak-7,14.7,18.0,22.449
akt-1,14.7,26.5,80.272
eak-7,15.8,20.8,31.646
eak-7,18.3,23.1,26.23
eak-7,15.3,20.1,31.373
eak-7,18.3,20.1,9.836
eak-7,15.0,17.8,18.667
eak-7,15.0,17.8,18.667
akt-1,15.0,21.3,42.0
akt-1,15.0,21.3,42.0
eak-7,14.0,17.2,22.857
eak-7,13.2,18.1,37.121
eak-7,14.6,20.8,42.466
eak-7,18.6,20.6,10.753
eak-7,15.3,20.1,31.373
eak-7,16.5,21.0,27.273
eak-7,14.7,17.5,19.048
eak-7,14.9,17.2,15.436
daf-2,20.0,24.2,21.0
daf-2,20.0,36.7,83.5
daf-2,20.0,43.2,116.0
daf-16,20.0,17.1,-14.5
daf-2,19.4,32.6,68.041
daf-16,20.0,14.0,-30.0
daf-16,20.0,14.0,-30.0
daf-2,20.0,41.0,105.0
daf-2,20.0,41.0,105.0
daf-2,20.0,41.0,105.0
daf-2,14.6,28.5,95.205
daf-2,14.6,28.5,95.205
daf-2,14.6,28.5,95.205
daf-2,14.6,28.5,95.205
daf-2,14.6,28.5,95.205
daf-2,14.6,28.5,95.205
daf-2,14.6,28.5,95.205
daf-2,14.6,30.7,110.274
daf-2,14.6,30.7,110.274
daf-2,14.6,30.7,110.274
daf-2,14.6,30.7,110.274
daf-2,14.6,30.7,110.274
daf-2,14.6,30.7,110.274
daf-2,14.6,30.7,110.274
daf-2,14.6,30.7,110.274
daf-2,13.3,33.9,154.887
daf-2,13.3,33.9,154.887
daf-2,13.3,33.9,154.887
daf-2,13.3,33.9,154.887
daf-2,13.3,33.9,154.887
daf-2,13.3,33.9,154.887
daf-2,13.3,33.9,154.887
daf-2,13.3,33.9,154.887
daf-2,16.1,24.1,49.689
daf-2,16.1,24.1,49.689
daf-2,15.5,29.6,90.968
daf-2,15.5,29.6,90.968
daf-2,18.1,30.3,67.403
elt-3,14.2,12.6,-11.268
eat-2,12.5,16.4,31.2
eat-2,12.3,14.3,16.26
daf-2,15.5,23.5,51.613
daf-2,15.5,23.5,51.613
daf-2,14.0,34.8,148.571
daf-2,14.0,34.8,148.571
eat-2,17.2,28.3,64.535
wwp-1,18.7,23.1,23.529
wwp-1,18.7,21.1,12.834
wwp-1,18.7,21.5,14.973
wwp-1,18.1,22.5,24.309
wwp-1,19.4,21.5,10.825
isp-1,18.4,26.2,42.391
eat-2,18.8,23.4,24.468
eat-2,18.8,23.4,24.468
eat-2,21.7,28.2,29.954
eat-2,21.7,28.2,29.954
isp-1,21.7,32.4,49.309
wwp-1,18.7,23.1,23.529
wwp-1,18.6,21.1,13.441
daf-2,18.74,46.39,147.545
daf-2,16.87,47.3,180.379
daf-16,16.36,13.86,-15.281
daf-16,16.36,13.86,-15.281
daf-16,17.04,13.26,-22.183
daf-3,16.87,15.93,-5.572
daf-3,18.99,17.42,-8.268
daf-5,18.99,14.71,-22.538
daf-5,18.99,16.75,-11.796
daf-2;daf-3,18.99,49.86,162.559
daf-2;daf-3,18.99,50.88,167.93
eat-2,16.24,28.94,78.202
eat-2,19.02,26.8,40.904
eat-2,19.02,24.16,27.024
eat-2,16.24,22.98,41.502
eat-2,16.65,28.76,72.733
eat-2,16.24,25.44,56.65
mev-1,19.02,14.36,-24.501
mev-1,16.24,17.76,9.36
gas-1,19.02,19.27,1.314
gas-1,16.56,14.94,-9.783
clk-1,16.56,33.04,99.517
clk-1,16.41,24.98,52.224
skn-1,16.56,17.86,7.85
skn-1,18.21,18.25,0.22
nhr-49,17.48,16.22,-7.208
nhr-49,17.49,20.35,16.352
nhr-8,17.48,17.53,0.286
nhr-8,17.49,19.2,9.777
aha-1,17.48,16.69,-4.519
aha-1,17.49,15.93,-8.919
ahr-1,17.48,16.16,-7.551
ahr-1,17.49,18.14,3.716
ahr-1,17.48,18.43,5.435
ahr-1,17.49,17.1,-2.23
pgp-3,17.48,17.16,-1.831
pgp-3,17.49,19.77,13.036
pgp-3,17.48,17.56,0.458
pgp-3,17.49,16.93,-3.202
hsf-1,19.69,17.85,-9.345
hsf-1,18.25,19.11,4.712
eat-2,17.48,24.38,39.474
eat-2,18.28,24.4,33.479
eat-2,18.37,24.4,32.825
eat-2,17.59,24.62,39.966
rde-1,19.02,20.01,5.205
rde-1,16.24,16.58,2.094
rde-1,16.56,20.01,20.833
rde-1,16.24,16.58,2.094
rde-1,19.6,20.01,2.092
rde-1,18.28,16.58,-9.3
nhr-49,20.91,12.91,-38.259
nhr-49,19.6,13.45,-31.378
daf-22,20.91,20.34,-2.726
daf-22,19.6,18.23,-6.99
daf-2,12.76,35.2,175.862
daf-2,11.91,31.74,166.499
daf-2,18.76,28.34,51.066
daf-2,18.74,30.25,61.419
glp-1,20.34,24.83,22.075
glp-1,20.49,24.67,20.4
sgk-1,25.1,28.5,13.546
akt-1,25.1,30.0,19.522
sgk-1,20.7,21.5,3.865
akt-1,20.7,32.2,55.556
sgk-1,16.6,15.9,-4.217
akt-1,20.3,24.1,18.719
hcf-1,18.7,20.6,10.16
hcf-1,18.7,20.6,10.16
hcf-1,18.7,20.6,10.16
hsf-1,16.5,13.5,-18.182
hsf-1,18.0,14.9,-17.222
hsf-1,17.2,13.1,-23.837
hsb -1,18.5,29.6,60.0
hsb -1,18.8,31.1,65.426
hsb -1,19.0,29.1,53.158
hsb -1,18.2,30.8,69.231
hsb -1,19.5,27.8,42.564
hsb -1,17.1,26.6,55.556
ddl-1,16.8,22.3,32.738
ddr-2,13.05,13.04,-0.077
ddr-2,15.97,16.64,4.195
ddr-2,14.04,14.79,5.342
ddr-2,18.56,18.87,1.67
ddr-2,19.02,20.11,5.731
ddr-2,17.22,17.14,-0.465
ddr-2,16.56,17.06,3.019
ddr-2,17.22,17.14,-0.465
ddr-2,16.56,17.06,3.019
pha-4,16.49,14.7,-10.855
pha-4,14.04,16.58,18.091
sams-1,17.41,16.1,-7.524
sams-1,18.44,17.33,-6.02
rab-10,18.76,16.59,-11.567
rab-10,21.68,17.98,-17.066
sams-1,21.68,17.83,-17.758
age-1;fer-15,12.0,24.0,100.0
daf-2,12.0,29.0,141.667
daf-2,19.0,39.0,105.263
age-1;fer-15,12.0,27.0,125.0
daf-2,19.0,39.0,105.263
age-1;fer-15,14.0,23.0,64.286
age-1;fer-15,25.0,31.0,24.0
npr-1,14.69,16.2,10.279
npr-1,14.31,16.32,14.046
npr-1,14.89,17.74,19.14
npr-1,14.39,16.11,11.953
gcy-35;npr-1,14.69,20.24,37.781
gcy-35;npr-1,14.31,23.61,64.99
gcy-35;npr-1,14.89,22.54,51.377
gcy-35;npr-1,14.39,20.06,39.402
npr-1,13.73,18.49,34.669
npr-1,13.44,17.95,33.557
npr-1,14.43,14.7,1.871
npr-1,13.44,15.15,12.723
npr-1,13.73,15.21,10.779
npr-1,13.76,15.54,12.936
npr-1,13.32,13.72,3.003
npr-1,12.57,15.2,20.923
npr-1,16.34,16.94,3.672
npr-1,15.36,16.97,10.482
npr-1,15.43,18.77,21.646
npr-1,13.76,15.54,12.936
npr-1,13.32,13.72,3.003
npr-1,12.57,15.2,20.923
npr-1,16.34,16.94,3.672
npr-1,15.36,16.97,10.482
gcy-35;npr-1,13.76,19.26,39.971
gcy-35;npr-1,13.32,18.43,38.363
gcy-35;npr-1,12.57,22.46,78.679
npr-1,10.36,12.32,18.919
npr-1,11.54,12.17,5.459
npr-1,12.38,12.78,3.231
npr-1,14.73,19.18,30.21
npr-1,13.53,17.69,30.746
npr-1,14.15,13.35,-5.654
npr-1,19.74,19.76,0.101
npr-1,20.49,21.4,4.441
npr-1,21.8,22.43,2.89
npr-1,17.53,20.69,18.026
npr-1,18.19,24.97,37.273
npr-1,20.73,20.74,0.048
npr-1,13.85,15.18,9.603
npr-1,13.51,16.48,21.984
npr-1,13.26,15.0,13.122
gcy-35;npr-1,13.85,18.69,34.946
gcy-35;npr-1,13.51,18.65,38.046
gcy-35;npr-1,13.26,18.81,41.855
npr-1,13.85,15.18,9.603
npr-1,13.51,16.48,21.984
npr-1,13.26,15.0,13.122
daf-16;npr-1,13.85,16.03,15.74
daf-16;npr-1,13.51,13.86,2.591
daf-16;npr-1,13.26,14.0,5.581
daf-2,13.85,30.82,122.527
daf-2,13.51,31.39,132.346
daf-2,13.26,31.68,138.914
daf-2,13.85,30.82,122.527
daf-2,13.51,31.39,132.346
daf-2,13.26,31.68,138.914
npr-1,14.69,16.03,9.122
npr-1,15.41,18.78,21.869
npr-1,14.03,14.07,0.285
npr-1,13.67,16.23,18.727
npr-1,13.48,14.12,4.748
npr-1,14.69,16.03,9.122
npr-1,14.21,18.78,32.16
npr-1,13.27,14.07,6.029
gcy-35;npr-1,14.69,22.13,50.647
gcy-35;npr-1,14.21,23.08,62.421
gcy-35;npr-1,13.27,21.97,65.561
npr-1,13.48,14.07,4.377
npr-1,15.41,16.23,5.321
npr-1,14.03,14.12,0.641
gcy-35;npr-1,13.48,21.97,62.982
gcy-35;npr-1,15.41,20.59,33.615
gcy-35;npr-1,14.03,22.1,57.52
daf-2,31.0,49.0,58.065
daf-2,31.0,49.0,58.065
sgk-1,14.7,24.0,63.265
sgk-1,14.7,24.0,63.265
sgk-1,17.5,21.1,20.571
akt-1,14.7,15.5,5.442
akt-1;akt-2,14.7,17.5,19.048
daf-16,14.7,11.4,-22.449
trpa-1,18.7,23.8,27.273
trpa-1,18.7,21.1,12.834
trpa-1,22.8,25.0,9.649
daf-16,19.8,14.8,-25.253
daf-16,19.8,14.8,-25.253
daf-16,19.9,17.1,-14.07
daf-16,19.9,17.1,-14.07
sgk-1,19.6,15.6,-20.408
sgk-1,19.6,15.6,-20.408
sgk-1,19.7,17.4,-11.675
sgk-1,19.7,17.4,-11.675
sgk-1,20.4,25.8,26.471
sgk-1,19.8,24.4,23.232
skn-1,21.6,16.4,-24.074
skn-1,21.6,16.4,-24.074
pha-4,21.37,14.13,-33.879
pha-4,21.37,14.13,-33.879
hsf-1,21.25,11.6,-45.412
hsf-1,21.25,11.6,-45.412
cmk-1,15.35,16.42,6.971
cmk-1,15.35,16.42,6.971
unc-43,19.65,19.31,-1.73
trpa-1,18.66,17.3,-7.288
trpa-1,27.18,23.75,-12.62
trpa-1,20.0,17.0,-15.0
trpa-1,14.37,15.2,5.776
akt-1,20.66,26.0,25.847
akt-2,18.18,25.75,41.639
jnk-1,19.33,15.77,-18.417
trpa-1,20.55,17.5,-14.842
pkc-2,20.55,16.66,-18.929
daf-2,21.09,41.09,94.832
daf-2,21.09,41.09,94.832
vang-1,10.2,14.3,40.196
vang-1,10.2,14.3,40.196
vang-1,21.4,25.6,19.626
vang-1,10.2,14.3,40.196
rrf-1,12.8,12.9,0.781
sea-2,17.3,20.1,16.185
sea-2,17.3,20.1,16.185
sea-2;daf-2,17.3,36.7,112.139
daf-9,20.9,27.7,32.536
daf-9,23.9,28.4,18.828
daf-9,22.8,33.8,48.246
daf-15; dpy-20,12.6,16.4,30.159
daf-15; dpy-20,12.6,16.4,30.159
mdl-1,17.39,26.6,52.961
mxl-1,17.39,24.5,40.886
mxl-1,13.5,24.5,81.481
daf-16,13.5,15.0,11.111
mxl-2,13.5,14.2,5.185
daf-16,13.5,15.0,11.111
daf-2,14.8,46.0,210.811
daf-2,14.8,46.0,210.811
daf-2,20.0,46.0,130.0
mxl-1,20.0,24.8,24.0
mxl-1;daf-2,20.0,65.0,225.0
mxl-1,17.85,24.64,38.039
mxl-2,17.85,12.14,-31.989
eat-2,20.0,30.0,50.0
eat-2,20.0,30.0,50.0
eat-2,20.0,30.0,50.0
eat-2,20.0,30.0,50.0
eat-2,20.0,30.0,50.0
eat-2,20.0,30.0,50.0
rrf-3;daf-16,12.67,10.25,-19.1
rrf-3;daf-16,12.67,10.25,-19.1
rrf-3;daf-16,12.67,10.25,-19.1
rrf-3;daf-16,12.67,10.25,-19.1
rrf-3;daf-16,12.67,10.25,-19.1
rrf-3;daf-16,12.67,10.25,-19.1
rrf-3;daf-16,12.67,10.25,-19.1
rrf-3;daf-16,12.67,10.25,-19.1
rrf-3;daf-16,12.67,10.25,-19.1
rrf-3;daf-16,12.67,10.25,-19.1
rrf-3;daf-16,12.67,10.25,-19.1
rrf-3;daf-16,12.67,10.25,-19.1
