,"All mutants (1770 results, without single mutants)",Mutant type,No. experiments,Change in average lifespan,Unnamed: 4,Epistasis
1650,nhr-27;tpk-1,Double mutant,1,-3.8% .. 290.24%,[est.],
1651,nhr-49;tcer-1,Double mutant,1,-30.54%,,
1652,nmur-1;osm-3,Double mutant,4,13.77% ..  44.76%,,
1653,nmur-1;pmk-1,Double mutant,1,14.52%,,
1654,npl-7;skn-1,Double mutant,4,-22.62% ..  -19.46%,,
1655,nspe-7;rrf-3,Double mutant,1,-27.78% .. 192.94%,[est.],
1656,nuc-1;rrf-3,Double mutant,2,-52.44% .. -212.71%,[est.],
1657,nuo-2;par-4,Double mutant,1,36.63%,,
1658,nuo-2;sad-1,Double mutant,1,6.98%,,
1659,nuo-6;sod-1,Double mutant,1,1.51% .. 311.76%,[est.],
1660,nuo-6;sod-2,Double mutant,1,5.86% .. 329.41%,[est.],
1661,ocr-2;osm-9,Double mutant,2,28.70% ..  48.83%,,
1662,ocr-2;osm-9;tax-6,Triple mutant,1,34.23%,,
1663,oga-1;ogt-1,Double mutant,1,-2.52%,,
1664,oga-1;pdk-1,Double mutant,1,17.61%,,
1665,oga-1;sgk-1,Double mutant,1,64.78%,,
1666,ogt-1;sgk-1,Double mutant,1,4.40%,,
1667,old-1;rrf-3,Double mutant,2,-51.57% .. -209.18%,[est.],
1668,par-5;sir-2.1,Double mutant,3,-25.00% ..  -5.00%,,
1669,pep-2;rrf-3,Double mutant,1,-50.41% .. 101.18%,[est.],
1670,pes-2;rrf-3,Double mutant,2,-51.28% .. -208.0%,[est.],
1671,pha-4;pkc-2,Double mutant,1,-19.33%,,
1672,pha-4;smg-1,Double mutant,3,-24.88% .. -100.94%,[est.],
1673,pha-4;trpa-1,Double mutant,1,-14.51%,,
1674,pha-4;wwp-1,Double mutant,3,-12.30% ..  -6.42%,,
1675,pkc-2;sgk-1,Double mutant,3,-19.90% ..  22.97%,,
1676,pkc-2;skn-1,Double mutant,1,-11.11%,,
1677,pkc-2;trpa-1,Double mutant,7,-20.00% ..  35.74%,,
1678,pme-1;rrf-3,Double mutant,1,-65.2% .. 41.18%,[est.],
1679,qns-1;rrf-3,Double mutant,1,-58.24% .. 69.41%,[est.],
1680,R05A10.5;rrf-3;sir-2.1,Triple mutant,1,-53.07% .. 90.35%,[est.],
1681,R08E3.3;rrf-3;sir-2.1,Triple mutant,1,-48.67% .. 108.24%,[est.],
1682,rab-10;vps-34,Double mutant,2,-3.49% ..  34.86%,,
1683,raga-1;rsks-1,Double mutant,2,-40.55% .. -164.47%,[est.],
1684,raga-1;skn-1,Double mutant,6,-12.16% ..  -2.38%,,
1685,ragc-1;rde-1,Double mutant,3,-0.79%,,
1686,rbg-3;tub-1,Double mutant,1,20.00%,,
1687,rheb-1;skn-1,Double mutant,3,-21.03% ..  -12.44%,,
1688,rps-15;rsks-1,Double mutant,2,-40.84% .. -165.65%,[est.],
1689,rps-15;sir-2.1,Double mutant,2,-39.68% .. -160.94%,[est.],
1690,rrf-1;utx-1,Double mutant,7,-3.01% ..  17.08%,,
1691,rrf-1;vang-1,Double mutant,1,14.06%,,
1692,rrf-3;scl-5,Double mutant,1,-33.0% .. 171.76%,[est.],
1693,rrf-3;sir-2.1,Double mutant,6,-61.51% .. -249.53%,[est.],
1694,rrf-3;sir-2.1;T05G5.10,Triple mutant,1,-51.54% .. 96.59%,[est.],
1695,rrf-3;sir-2.1;T06G6.4,Triple mutant,1,-56.64% .. 75.88%,[est.],
1696,rrf-3;sir-2.1;T20H4.5,Triple mutant,1,-37.82% .. 152.24%,[est.],
1697,rrf-3;sir-2.1;W05B2.5,Triple mutant,1,-57.71% .. 71.53%,[est.],
1698,rrf-3;sir-2.1;Y39F10C.1,Triple mutant,1,-52.73% .. 91.76%,[est.],
1699,rrf-3;sir-2.1;Y39H10A_224.b,Triple mutant,1,-56.61% .. 76.0%,[est.],
1700,rrf-3;sir-2.1;Y43H11_160.a,Triple mutant,1,-56.73% .. 75.53%,[est.],
1701,rrf-3;sir-2.1;Y46H3C_13.a,Triple mutant,1,-55.19% .. 81.76%,[est.],
1702,rrf-3;sir-2.1;Y50D4A_25.a,Triple mutant,1,-57.6% .. 72.0%,[est.],
1703,rrf-3;sir-2.1;Y54E5A.7,Triple mutant,1,-51.71% .. 95.88%,[est.],
1704,rrf-3;sir-2.1;Y56A3A.9,Triple mutant,1,-52.49% .. 92.71%,[est.],
1705,rrf-3;sir-2.1;Y71H2_380.a,Triple mutant,1,-61.46% .. 56.35%,[est.],
1706,rrf-3;sir-2.1;Y75B8A.13,Triple mutant,1,-60.32% .. 60.94%,[est.],
1707,rrf-3;sir-2.1;Y75B8A.33,Triple mutant,1,-57.92% .. 70.71%,[est.],
1708,rrf-3;sir-2.1;ZC64.3,Triple mutant,1,-56.38% .. 76.94%,[est.],
1709,rrf-3;skn-1,Double mutant,4,-47.83% ..  -0.05%,,
1710,rrf-3;skr-12,Double mutant,2,-45.19% .. -183.29%,[est.],
1711,rrf-3;skr-13,Double mutant,2,-43.74% .. -177.41%,[est.],
1712,rrf-3;skr-15,Double mutant,1,-41.71% .. 136.47%,[est.],
1713,rrf-3;skr-17,Double mutant,2,-44.61% .. -180.94%,[est.],
1714,rrf-3;skr-5,Double mutant,2,-47.8% .. -193.88%,[est.],
1715,rrf-3;skr-8,Double mutant,1,-48.67% .. 108.24%,[est.],
1716,rrf-3;T20D4.7,Double mutant,1,-26.33% .. 198.82%,[est.],
1717,rrf-3;vit-1,Double mutant,1,-51.86% .. 95.29%,[est.],
1718,rrf-3;vit-2,Double mutant,2,-47.22% .. -191.53%,[est.],
1719,rrf-3;vit-5,Double mutant,2,-52.15% .. -211.53%,[est.],
1720,rrf-3;Y39B6A.24,Double mutant,1,-25.46% .. 202.35%,[est.],
1721,rrf-3;Y43C5A.3,Double mutant,1,-37.35% .. 154.12%,[est.],
1722,rrf-3;Y50D4B.6,Double mutant,2,-30.39% .. -123.29%,[est.],
1723,rsks-1;rsks-1,Double mutant,2,-40.26% .. -163.29%,[est.],
1724,rsks-1;sca-1,Double mutant,1,19.70%,,
1725,rsks-1;sir-2.1,Double mutant,3,-42.58% .. -172.71%,[est.],
1726,rsks-1;unc-51,Double mutant,1,-35.9% .. 160.0%,[est.],
1727,rsks-1;unc-70,Double mutant,1,44.83%,,
1728,sgk-1;skn-1,Double mutant,2,-40.58% ..  -34.06%,,
1729,sgk-1;trpa-1,Double mutant,3,-19.39% ..  22.97%,,
1730,sgk-1;utx-1,Double mutant,2,26.33% ..  31.75%,,
1731,sir-2.1;unc-13,Double mutant,2,53.41% ..  71.02%,,
1732,sir-2.1;unc-51,Double mutant,2,-25.17% .. -102.12%,[est.],
1733,sir-2.1;unc-64,Double mutant,1,147.53%,,
1734,sir-2.1;utx-1,Double mutant,2,46.17% ..  52.97%,,
